iShares Russell 1000 ETF
Fund Holdings as of,"Jun 30, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NFLX","NETFLIX INC","Communication","Equity","208,881,556.80","0.43","208,881,556.80","2,925,512.00","71.40","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","203,371,336.45","0.42","203,371,336.45","201,085.00","1,011.37","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","196,739,986.82","0.41","196,739,986.82","1,087,502.00","180.91","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","191,799,878.60","0.40","191,799,878.60","562,430.00","341.02","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","188,776,971.17","0.39","188,776,971.17","633,331.00","298.07","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","184,416,674.37","0.38","184,416,674.37","655,797.00","281.21","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","180,969,366.56","0.37","180,969,366.56","607,504.00","297.89","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","180,696,395.94","0.37","180,696,395.94","1,548,782.00","116.67","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","178,239,382.01","0.37","178,239,382.01","939,437.00","189.73","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","176,314,092.80","0.36","176,314,092.80","2,133,520.00","82.64","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","175,181,180.40","0.36","175,181,180.40","1,195,368.00","146.55","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","166,658,618.88","0.34","166,658,618.88","321,152.00","518.94","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","166,070,097.84","0.34","166,070,097.84","1,186,554.00","139.96","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","163,171,398.00","0.34","163,171,398.00","780,575.00","209.04","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","150,613,249.28","0.31","150,613,249.28","854,204.00","176.32","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","150,358,520.32","0.31","150,358,520.32","235,406.00","638.72","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","140,783,565.09","0.29","140,783,565.09","551,163.00","255.43","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","136,380,548.04","0.28","136,380,548.04","376,617.00","362.12","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","135,781,659.31","0.28","135,781,659.31","734,789.00","184.79","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","135,280,073.70","0.28","135,280,073.70","340,610.00","397.17","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","133,699,650.96","0.28","133,699,650.96","494,616.00","270.31","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","133,477,764.84","0.28","133,477,764.84","174,906.00","763.14","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","130,060,304.40","0.27","130,060,304.40","259,415.00","501.36","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","128,710,427.60","0.27","128,710,427.60","950,594.00","135.40","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","127,860,878.44","0.26","127,860,878.44","1,456,772.00","87.77","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","125,074,364.25","0.26","125,074,364.25","369,769.00","338.25","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","123,656,161.64","0.26","123,656,161.64","727,903.00","169.88","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","123,462,847.24","0.26","123,462,847.24","2,915,986.00","42.34","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","118,931,697.50","0.25","118,931,697.50","1,235,654.00","96.25","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","116,979,664.50","0.24","116,979,664.50","772,143.00","151.50","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","115,322,133.96","0.24","115,322,133.96","270,633.00","426.12","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","114,601,815.64","0.24","114,601,815.64","529,412.00","216.47","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","112,681,712.00","0.23","112,681,712.00","414,271.00","272.00","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","111,767,971.95","0.23","111,767,971.95","492,435.00","226.97","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","109,560,784.60","0.23","109,560,784.60","867,190.00","126.34","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","109,511,293.06","0.23","109,511,293.06","1,206,869.00","90.74","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","109,192,931.87","0.23","109,192,931.87","172,139.00","634.33","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","105,033,524.56","0.22","105,033,524.56","1,138,328.00","92.27","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","102,260,944.44","0.21","102,260,944.44","106,349.00","961.56","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","98,693,664.96","0.20","98,693,664.96","1,367,706.00","72.16","United States","NYSE","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","97,667,091.90","0.20","97,667,091.90","4,718,217.00","20.70","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","97,633,223.76","0.20","97,633,223.76","245,507.00","397.68","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","96,102,908.48","0.20","96,102,908.48","539,177.00","178.24","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","95,492,659.36","0.20","95,492,659.36","3,965,642.00","24.08","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","92,471,161.85","0.19","92,471,161.85","893,873.00","103.45","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","90,431,858.70","0.19","90,431,858.70","209,595.00","431.46","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","89,531,872.46","0.19","89,531,872.46","267,403.00","334.82","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","88,876,164.05","0.18","88,876,164.05","406,849.00","218.45","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","88,298,218.08","0.18","88,298,218.08","849,348.00","103.96","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","87,955,484.37","0.18","87,955,484.37","177,069.00","496.73","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","87,934,389.82","0.18","87,934,389.82","649,106.00","135.47","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","87,177,214.18","0.18","87,177,214.18","434,539.00","200.62","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","86,727,445.98","0.18","86,727,445.98","553,603.00","156.66","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","86,112,966.05","0.18","86,112,966.05","167,135.00","515.23","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","86,097,596.67","0.18","86,097,596.67","390,483.00","220.49","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","85,999,244.76","0.18","85,999,244.76","87,923.00","978.12","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","83,853,204.96","0.17","83,853,204.96","205,896.00","407.26","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","83,833,486.16","0.17","83,833,486.16","440,117.00","190.48","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","83,757,210.85","0.17","83,757,210.85","1,164,103.00","71.95","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","83,501,062.92","0.17","83,501,062.92","245,058.00","340.74","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","81,952,176.94","0.17","81,952,176.94","1,422,287.00","57.62","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","81,199,765.24","0.17","81,199,765.24","794,596.00","102.19","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","75,828,584.32","0.16","75,828,584.32","240,848.00","314.84","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","75,572,824.56","0.16","75,572,824.56","153,866.00","491.16","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","75,225,092.99","0.16","75,225,092.99","785,969.00","95.71","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","74,912,241.56","0.15","74,912,241.56","104,039.00","720.04","United States","NYSE","USD","1.00","USD","-"
