iShares Core S&P 500 ETF
Fund Holdings as of,"Jun 24, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,161,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","65,296,195,813.00","7.61","65,296,195,813.00","328,121,587.00","199.00","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","58,314,954,378.68","6.80","58,314,954,378.68","198,972,821.00","293.08","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","36,778,016,666.52","4.29","36,778,016,666.52","100,634,862.00","365.46","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","31,067,359,725.33","3.62","31,067,359,725.33","132,613,479.00","234.27","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","27,428,526,188.58","3.20","27,428,526,188.58","79,436,202.00","345.29","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","24,506,567,739.55","2.86","24,506,567,739.55","64,141,565.00","382.07","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","22,092,712,111.92","2.57","22,092,712,111.92","64,029,423.00","345.04","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","16,591,159,307.85","1.93","16,591,159,307.85","29,750,855.00","557.67","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","16,019,878,125.08","1.87","16,019,878,125.08","15,278,708.00","1,048.51","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","14,322,390,493.14","1.67","14,322,390,493.14","38,139,138.00","375.53","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","12,289,517,295.21","1.43","12,289,517,295.21","24,836,841.00","494.81","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","12,104,384,385.60","1.41","12,104,384,385.60","36,300,448.00","333.45","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,973,550,286.88","1.40","11,973,550,286.88","10,716,888.00","1,117.26","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","11,481,222,397.06","1.34","11,481,222,397.06","22,090,319.00","519.74","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","8,425,988,367.50","0.98","8,425,988,367.50","64,002,950.00","131.65","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","7,859,228,828.00","0.92","7,859,228,828.00","32,610,908.00","241.00","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","7,687,245,078.50","0.90","7,687,245,078.50","56,152,265.00","136.90","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,470,106,499.12","0.87","7,470,106,499.12","22,484,744.00","332.23","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","7,067,576,838.00","0.82","7,067,576,838.00","59,391,402.00","119.00","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","6,406,775,288.16","0.75","6,406,775,288.16","53,510,192.00","119.73","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","6,349,810,627.20","0.74","6,349,810,627.20","16,941,864.00","374.80","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","6,331,975,242.10","0.74","6,331,975,242.10","10,750,930.00","588.97","United States","NASDAQ","USD","1.00","USD","-"
