iShares Core S&P 500 ETF
Fund Holdings as of,"Jun 05, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,124,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","65,342,186,111.30","7.85","65,342,186,111.30","318,586,963.00","205.10","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","59,156,247,529.28","7.11","59,156,247,529.28","192,478,192.00","307.34","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","40,564,601,180.88","4.88","40,564,601,180.88","97,354,264.00","416.67","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","31,510,119,782.97","3.79","31,510,119,782.97","128,074,299.00","246.03","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","28,331,052,209.61","3.41","28,331,052,209.61","76,875,837.00","368.53","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","23,977,298,884.55","2.88","23,977,298,884.55","62,160,835.00","385.73","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","22,664,527,248.96","2.72","22,664,527,248.96","61,965,571.00","365.76","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","17,004,372,845.00","2.04","17,004,372,845.00","28,675,165.00","593.00","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","14,417,219,835.00","1.73","14,417,219,835.00","36,872,685.00","391.00","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","12,749,384,264.61","1.53","12,749,384,264.61","14,756,061.00","864.01","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,754,426,470.64","1.41","11,754,426,470.64","10,389,092.00","1,131.42","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,735,283,674.04","1.41","11,735,283,674.04","24,041,308.00","488.13","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","11,041,884,039.58","1.33","11,041,884,039.58","35,348,734.00","312.37","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","9,969,168,184.92","1.20","9,969,168,184.92","21,375,634.00","466.38","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","8,213,980,372.80","0.99","8,213,980,372.80","54,789,090.00","149.92","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","7,354,406,324.28","0.88","7,354,406,324.28","31,595,164.00","232.77","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,131,515,157.00","0.86","7,131,515,157.00","22,040,100.00","323.57","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,832,202,647.36","0.82","6,832,202,647.36","57,471,422.00","118.88","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","6,301,088,966.64","0.76","6,301,088,966.64","51,801,126.00","121.64","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","6,104,715,983.64","0.73","6,104,715,983.64","61,558,092.00","99.17","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,655,676,953.12","0.68","5,655,676,953.12","5,819,376.00","971.87","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","5,516,284,334.60","0.66","5,516,284,334.60","6,100,195.00","904.28","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","5,265,246,311.20","0.63","5,265,246,311.20","23,171,440.00","227.23","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,243,376,072.72","0.63","5,243,376,072.72","10,677,234.00","491.08","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","4,965,329,274.88","0.60","4,965,329,274.88","16,372,096.00","303.28","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","4,750,488,887.20","0.57","4,750,488,887.20","22,231,790.00","213.68","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,744,139,275.48","0.57","4,744,139,275.48","11,876,084.00","399.47","United States","NYSE","USD","1.00","USD","-"
