iShares Core S&P 500 ETF
Fund Holdings as of,"May 29, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,125,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","4,052,554,694.68","0.47","4,052,554,694.68","3,951,553.00","1,025.56","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","4,030,039,208.98","0.47","4,030,039,208.98","51,006,698.00","79.01","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,882,254,884.48","0.45","3,882,254,884.48","32,700,934.00","118.72","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,667,521,653.00","0.43","3,667,521,653.00","12,315,385.00","297.80","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,655,067,419.92","0.43","3,655,067,419.92","11,957,169.00","305.68","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,637,982,382.58","0.42","3,637,982,382.58","20,509,541.00","177.38","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","3,528,810,794.74","0.41","3,528,810,794.74","14,057,887.00","251.02","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","3,438,414,266.24","0.40","3,438,414,266.24","3,550,907.00","968.32","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","3,319,135,234.38","0.39","3,319,135,234.38","1,727,178.00","1,921.71","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,296,914,608.00","0.38","3,296,914,608.00","15,850,551.00","208.00","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","3,296,022,513.42","0.38","3,296,022,513.42","1,944,579.00","1,694.98","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3,177,283,327.14","0.37","3,177,283,327.14","17,684,979.00","179.66","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,159,378,078.06","0.37","3,159,378,078.06","40,745,139.00","77.54","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","3,061,934,703.17","0.36","3,061,934,703.17","6,152,293.00","497.69","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","2,999,039,908.93","0.35","2,999,039,908.93","10,646,597.00","281.69","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2,898,648,829.80","0.34","2,898,648,829.80","23,023,422.00","125.90","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","2,664,208,623.15","0.31","2,664,208,623.15","6,437,619.00","413.85","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,656,300,459.96","0.31","2,656,300,459.96","55,559,516.00","47.81","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,619,684,740.00","0.31","2,619,684,740.00","9,382,825.00","279.20","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,596,260,627.70","0.30","2,596,260,627.70","18,005,830.00","144.19","United States","NASDAQ","USD","1.00","USD","-"
