iShares Core S&P 500 ETF
Fund Holdings as of,"Jun 08, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,123,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,020,293,788.43","0.48","4,020,293,788.43","12,980,833.00","309.71","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","4,015,282,999.70","0.48","4,015,282,999.70","50,481,305.00","79.54","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,868,156,634.40","0.47","3,868,156,634.40","32,364,095.00","119.52","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","3,603,180,474.40","0.43","3,603,180,474.40","1,709,240.00","2,108.06","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,573,701,444.12","0.43","3,573,701,444.12","20,298,202.00","176.06","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,442,507,981.90","0.41","3,442,507,981.90","11,833,991.00","290.90","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,422,756,316.70","0.41","3,422,756,316.70","12,188,435.00","280.82","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,329,498,233.04","0.40","3,329,498,233.04","15,687,421.00","212.24","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","3,282,041,972.80","0.40","3,282,041,972.80","3,514,528.00","933.85","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,264,767,052.80","0.39","3,264,767,052.80","40,325,680.00","80.96","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","3,160,263,806.00","0.38","3,160,263,806.00","1,924,643.00","1,642.00","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3,127,023,270.34","0.38","3,127,023,270.34","17,502,649.00","178.66","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","3,056,090,997.92","0.37","3,056,090,997.92","6,088,801.00","501.92","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","3,036,955,131.84","0.37","3,036,955,131.84","22,786,278.00","133.28","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","3,029,826,823.59","0.37","3,029,826,823.59","13,912,967.00","217.77","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","2,806,287,250.40","0.34","2,806,287,250.40","10,536,880.00","266.33","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,579,502,024.74","0.31","2,579,502,024.74","9,286,133.00","277.78","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","2,573,359,286.04","0.31","2,573,359,286.04","6,371,436.00","403.89","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,506,964,165.08","0.30","2,506,964,165.08","17,820,331.00","140.68","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,498,617,686.40","0.30","2,498,617,686.40","54,987,185.00","45.44","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","2,493,157,745.67","0.30","2,493,157,745.67","2,843,571.00","876.77","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,427,539,046.24","0.29","2,427,539,046.24","7,021,488.00","345.73","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","2,329,464,263.39","0.28","2,329,464,263.39","4,420,823.00","526.93","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","2,313,147,890.25","0.28","2,313,147,890.25","14,479,799.00","159.75","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,301,656,700.00","0.28","2,301,656,700.00","16,028,250.00","143.60","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,300,731,928.53","0.28","2,300,731,928.53","4,899,031.00","469.63","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,283,846,081.95","0.28","2,283,846,081.95","23,099,485.00","98.87","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2,281,374,635.89","0.27","2,281,374,635.89","27,155,989.00","84.01","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,230,371,620.85","0.27","2,230,371,620.85","12,217,867.00","182.55","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,211,123,146.08","0.27","2,211,123,146.08","10,240,474.00","215.92","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,180,927,062.80","0.26","2,180,927,062.80","6,983,436.00","312.30","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","2,165,585,028.64","0.26","2,165,585,028.64","3,287,216.00","658.79","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","2,105,883,459.20","0.25","2,105,883,459.20","13,464,728.00","156.40","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","2,078,830,363.62","0.25","2,078,830,363.62","7,737,486.00","268.67","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","2,072,362,601.40","0.25","2,072,362,601.40","16,177,694.00","128.10","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,053,875,195.00","0.25","2,053,875,195.00","91,283,342.00","22.50","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,051,989,307.50","0.25","2,051,989,307.50","22,673,915.00","90.50","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","2,041,681,163.58","0.25","2,041,681,163.58","5,064,447.00","403.14","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","1,991,908,534.55","0.24","1,991,908,534.55","3,533,695.00","563.69","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","1,938,459,838.66","0.23","1,938,459,838.66","4,630,706.00","418.61","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,918,386,715.92","0.23","1,918,386,715.92","21,780,049.00","88.08","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","1,909,224,526.86","0.23","1,909,224,526.86","10,180,359.00","187.54","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,899,421,478.22","0.23","1,899,421,478.22","74,138,231.00","25.62","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,899,317,683.80","0.23","1,899,317,683.80","15,975,420.00","118.89","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,885,750,640.82","0.23","1,885,750,640.82","3,287,227.00","573.66","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","1,880,168,763.06","0.23","1,880,168,763.06","26,836,551.00","70.06","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","1,871,644,833.45","0.23","1,871,644,833.45","1,881,485.00","994.77","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","1,819,657,600.00","0.22","1,819,657,600.00","9,098,288.00","200.00","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,753,409,174.40","0.21","1,753,409,174.40","8,278,608.00","211.80","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,730,627,955.98","0.21","1,730,627,955.98","12,120,941.00","142.78","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1,705,418,536.80","0.21","1,705,418,536.80","10,507,816.00","162.30","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,664,185,346.19","0.20","1,664,185,346.19","3,989,991.00","417.09","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,610,450,703.24","0.19","1,610,450,703.24","16,588,903.00","97.08","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,560,461,605.83","0.19","1,560,461,605.83","21,888,927.00","71.29","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,557,466,185.88","0.19","1,557,466,185.88","13,639,252.00","114.19","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","1,553,060,297.07","0.19","1,553,060,297.07","3,875,191.00","400.77","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,530,463,219.06","0.18","1,530,463,219.06","7,642,381.00","200.26","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","1,526,601,841.96","0.18","1,526,601,841.96","4,742,767.00","321.88","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,521,196,149.06","0.18","1,521,196,149.06","7,314,498.00","207.97","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,505,611,296.25","0.18","1,505,611,296.25","8,203,625.00","183.53","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1,499,332,729.86","0.18","1,499,332,729.86","4,988,298.00","300.57","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,475,628,785.98","0.18","1,475,628,785.98","26,554,414.00","55.57","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,470,337,964.76","0.18","1,470,337,964.76","8,150,884.00","180.39","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,467,097,694.72","0.18","1,467,097,694.72","3,312,032.00","442.96","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,453,422,356.16","0.18","1,453,422,356.16","1,645,744.00","883.14","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,408,564,643.37","0.17","1,408,564,643.37","14,229,363.00","98.99","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,408,621,266.80","0.17","1,408,621,266.80","14,855,740.00","94.82","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,399,491,660.04","0.17","1,399,491,660.04","8,023,228.00","174.43","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","1,399,279,974.40","0.17","1,399,279,974.40","3,549,310.00","394.24","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,373,040,967.56","0.17","1,373,040,967.56","2,640,108.00","520.07","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","1,361,613,307.46","0.16","1,361,613,307.46","1,281,229.00","1,062.74","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,354,177,863.66","0.16","1,354,177,863.66","4,491,022.00","301.53","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,349,031,675.42","0.16","1,349,031,675.42","1,944,382.00","693.81","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,348,868,828.51","0.16","1,348,868,828.51","16,716,679.00","80.69","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,324,467,442.76","0.16","1,324,467,442.76","2,886,053.00","458.92","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,311,369,977.51","0.16","1,311,369,977.51","5,352,749.00","244.99","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,310,580,714.24","0.16","1,310,580,714.24","14,357,808.00","91.28","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","1,288,964,139.65","0.16","1,288,964,139.65","5,228,003.00","246.55","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,282,556,735.97","0.15","1,282,556,735.97","1,282,556,736.00","1.00","United States","-","USD","1.00","USD","-"
