iShares Russell 2000 ETF
Fund Holdings as of,"May 29, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"278,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UMBF","UMB FINANCIAL CORP","Financials","Equity","227,819,581.36","0.28","227,819,581.36","1,735,636.00","131.26","United States","NASDAQ","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","226,366,249.87","0.28","226,366,249.87","8,349,917.00","27.11","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","225,339,706.20","0.28","225,339,706.20","1,344,108.00","167.65","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","224,780,398.02","0.28","224,780,398.02","1,081,611.00","207.82","United States","NYSE","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","218,900,760.52","0.27","218,900,760.52","5,362,586.00","40.82","United States","NYSE","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","216,175,069.12","0.26","216,175,069.12","617,696.00","349.97","United States","NASDAQ","USD","1.00","USD","-"
"AGX","ARGAN INC","Industrials","Equity","214,281,509.04","0.26","214,281,509.04","321,252.00","667.02","United States","NYSE","USD","1.00","USD","-"
"WULF","TERAWULF INC","Information Technology","Equity","210,988,700.64","0.26","210,988,700.64","8,254,644.00","25.56","United States","NASDAQ","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","208,952,682.15","0.26","208,952,682.15","4,273,935.00","48.89","United States","NYSE","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","208,237,617.02","0.25","208,237,617.02","946,922.00","219.91","United States","NASDAQ","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","203,456,031.42","0.25","203,456,031.42","409,146.00","497.27","United States","NASDAQ","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","202,833,010.80","0.25","202,833,010.80","656,460.00","308.98","United States","NYSE","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","202,436,658.45","0.25","202,436,658.45","2,661,889.00","76.05","United States","NYSE","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","200,818,317.06","0.25","200,818,317.06","880,898.00","227.97","United States","NYSE","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","200,561,484.48","0.25","200,561,484.48","8,353,248.00","24.01","United States","NASDAQ","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","200,366,641.17","0.25","200,366,641.17","1,460,079.00","137.23","United States","NYSE","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","199,710,489.72","0.24","199,710,489.72","7,819,518.00","25.54","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","198,981,731.05","0.24","198,981,731.05","1,755,463.00","113.35","United States","NASDAQ","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","195,311,670.40","0.24","195,311,670.40","2,920,330.00","66.88","United States","NYSE","USD","1.00","USD","-"
"POWL","POWELL INDUSTRIES INC","Industrials","Equity","195,050,969.70","0.24","195,050,969.70","685,785.00","284.42","United States","NASDAQ","USD","1.00","USD","-"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","Health Care","Equity","190,367,239.92","0.23","190,367,239.92","3,086,369.00","61.68","United States","NASDAQ","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","187,532,304.96","0.23","187,532,304.96","904,904.00","207.24","United States","NASDAQ","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","186,899,574.30","0.23","186,899,574.30","6,960,878.00","26.85","United States","NASDAQ","USD","1.00","USD","-"
"VICR","VICOR CORP","Industrials","Equity","184,225,954.44","0.23","184,225,954.44","550,191.00","334.84","United States","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER DIGITAL INC","Information Technology","Equity","183,817,827.60","0.23","183,817,827.60","7,772,424.00","23.65","United States","NASDAQ","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","183,221,909.87","0.22","183,221,909.87","5,966,197.00","30.71","United States","NYSE","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","183,130,868.97","0.22","183,130,868.97","592,599.00","309.03","United States","NASDAQ","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","181,709,209.50","0.22","181,709,209.50","622,505.00","291.90","United States","NYSE","USD","1.00","USD","-"
"MXL","MAXLINEAR INC","Information Technology","Equity","181,643,301.25","0.22","181,643,301.25","1,954,625.00","92.93","United States","NASDAQ","USD","1.00","USD","-"
