Fund Holdings as of,"03/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’488’944’769.00","8.21","2’488’944’769.00","11’589’964.00","214.75","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’172’498’228.36","7.17","2’172’498’228.36","7’002’186.00","310.26","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’599’918’421.72","5.28","1’599’918’421.72","1’481’996.00","1’079.57","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’513’514’778.74","5.00","1’513’514’778.74","3’541’711.00","427.34","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’280’125’151.82","4.22","1’280’125’151.82","5’120’091.00","250.02","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’164’679’765.92","3.84","1’164’679’765.92","2’146’796.00","542.52","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","1’083’689’987.45","3.58","1’083’689’987.45","2’261’315.00","479.23","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1’008’640’729.80","3.33","1’008’640’729.80","2’380’554.00","423.70","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","996’846’662.91","3.29","996’846’662.91","2’776’809.00","358.99","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","922’501’251.36","3.04","922’501’251.36","2’593’627.00","355.68","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","876’339’113.22","2.89","876’339’113.22","1’406’689.00","622.98","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","752’211’463.12","2.48","752’211’463.12","6’435’208.00","116.89","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","741’299’418.21","2.45","741’299’418.21","6’577’051.00","112.71","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","657’927’765.00","2.17","657’927’765.00","5’201’010.00","126.50","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","565’158’572.19","1.87","565’158’572.19","1’644’289.00","343.71","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","562’181’940.36","1.86","562’181’940.36","584’492.00","961.83","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","523’298’139.99","1.73","523’298’139.99","1’044’987.00","500.77","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","453’210’766.08","1.50","453’210’766.08","5’559’504.00","81.52","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","428’911’745.40","1.42","428’911’745.40","3’016’257.00","142.20","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","368’523’424.03","1.22","368’523’424.03","1’194’217.00","308.59","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","366’307’335.81","1.21","366’307’335.81","172’371.00","2’125.11","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","356’144’332.50","1.18","356’144’332.50","194’455.00","1’831.50","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","351’994’079.20","1.16","351’994’079.20","1’407’920.00","250.01","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","347’191’910.40","1.15","347’191’910.40","1’150’976.00","301.65","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","310’698’824.10","1.03","310’698’824.10","612’130.00","507.57","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","300’569’080.45","0.99","300’569’080.45","1’071’815.00","280.43","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","280’829’642.49","0.93","280’829’642.49","641’647.00","437.67","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","270’961’051.05","0.89","270’961’051.05","288’045.00","940.69","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","264’409’249.61","0.87","264’409’249.61","445’051.00","594.11","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","262’763’914.30","0.87","262’763’914.30","1’448’134.00","181.45","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","255’992’289.82","0.84","255’992’289.82","1’795’933.00","142.54","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","247’274’250.33","0.82","247’274’250.33","330’753.00","747.61","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","240’737’893.38","0.79","240’737’893.38","711’779.00","338.22","United States","NASDAQ","USD"
