Fund Holdings as of,"29/May/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","147’884’844.16","0.49","147’884’844.16","1’491’376.00","99.16","United States","NASDAQ","USD"
"ADBE","ADOBE INC","Information Technology","Equity","138’812’916.83","0.46","138’812’916.83","535’523.00","259.21","United States","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","136’560’970.50","0.46","136’560’970.50","474’582.00","287.75","United States","NASDAQ","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","136’270’183.15","0.46","136’270’183.15","363’455.00","374.93","United States","NASDAQ","USD"
"FTNT","FORTINET INC","Information Technology","Equity","134’441’141.31","0.45","134’441’141.31","974’423.00","137.97","United States","NASDAQ","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","130’428’226.80","0.44","130’428’226.80","347’253.00","375.60","United States","NASDAQ","USD"
"INTU","INTUIT INC","Information Technology","Equity","120’246’262.53","0.40","120’246’262.53","362’701.00","331.53","United States","NASDAQ","USD"
"SNPS","SYNOPSYS INC","Information Technology","Equity","119’448’633.66","0.40","119’448’633.66","251’143.00","475.62","United States","NASDAQ","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","117’261’950.52","0.39","117’261’950.52","4’714’996.00","24.87","United States","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","117’116’656.72","0.39","117’116’656.72","527’933.00","221.84","United States","NASDAQ","USD"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","113’570’704.32","0.38","113’570’704.32","1’289’404.00","88.08","United States","NASDAQ","USD"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","112’238’464.80","0.38","112’238’464.80","66’192.00","1’695.65","United States","NASDAQ","USD"
"CSX","CSX CORP","Industrials","Equity","109’644’975.08","0.37","109’644’975.08","2’422’558.00","45.26","United States","NASDAQ","USD"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","105’985’728.90","0.35","105’985’728.90","329’814.00","321.35","United States","NASDAQ","USD"
