Fund Holdings as of,"02/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’575’744’386.28","8.50","2’575’744’386.28","11’559’754.00","222.82","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’201’339’779.20","7.26","2’201’339’779.20","6’983’946.00","315.20","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’572’873’876.60","5.19","1’572’873’876.60","1’478’126.00","1’064.10","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’558’914’777.01","5.14","1’558’914’777.01","3’532’471.00","441.31","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’309’981’201.32","4.32","1’309’981’201.32","5’106’741.00","256.52","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’116’714’146.44","3.68","1’116’714’146.44","2’141’186.00","521.54","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","1’086’149’832.95","3.58","1’086’149’832.95","2’255’435.00","481.57","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1’006’104’526.56","3.32","1’006’104’526.56","2’374’344.00","423.74","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’002’172’161.15","3.31","1’002’172’161.15","2’769’579.00","361.85","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","927’110’848.03","3.06","927’110’848.03","2’586’877.00","358.39","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","838’492’221.27","2.77","838’492’221.27","1’403’029.00","597.63","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","725’665’208.48","2.39","725’665’208.48","6’418’408.00","113.06","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","708’009’035.63","2.34","708’009’035.63","6’559’891.00","107.93","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","663’989’760.00","2.19","663’989’760.00","5’187’420.00","128.00","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","556’303’147.74","1.84","556’303’147.74","582’962.00","954.27","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","548’432’065.59","1.81","548’432’065.59","1’639’999.00","334.41","United States","NASDAQ","USD"
