Fund Holdings as of,"24/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’266’053’596","7.83","2’266’053’596.00","11’387’204","199.00","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’025’499’913","7.00","2’025’499’912.56","6’911’082","293.08","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’536’025’210","5.31","1’536’025’209.60","1’464’960","1’048.51","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’277’404’764","4.41","1’277’404’763.64","3’495’334","365.46","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’185’687’324","4.10","1’185’687’324.00","5’061’200","234.27","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’100’676’267","3.80","1’100’676’266.56","2’117’744","519.74","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","945’897’785","3.27","945’897’784.70","2’739’430","345.29","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","885’385’061","3.06","885’385’061.44","2’566’036","345.04","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","882’294’591","3.05","882’294’591.45","2’349’465","375.53","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","859’005’718","2.97","859’005’718.00","6’524’920","131.65","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","851’939’304","2.94","851’939’303.93","2’229’799","382.07","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","777’935’151","2.69","777’935’150.58","1’394’974","557.67","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","753’404’470","2.60","753’404’470.00","6’331’130","119.00","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","613’705’569","2.12","613’705’568.58","5’125’746","119.73","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","609’543’986","2.11","609’543’986.40","1’626’318","374.80","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","606’696’819","2.10","606’696’819.06","1’030’098","588.97","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","554’500’876","1.92","554’500’875.50","576’950","961.09","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","407’129’995","1.41","407’129’994.72","1’692’989","240.48","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","391’996’397","1.35","391’996’396.80","5’456’520","71.84","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","368’719’253","1.27","368’719’252.62","192’597","1’914.46","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","358’747’962","1.24","358’747’962.27","1’183’557","303.11","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","338’910’206","1.17","338’910’205.50","2’985’993","113.50","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","314’790’245","1.09","314’790’245.30","1’137’659","276.70","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","310’086’788","1.07","310’086’788.34","601’258","515.73","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","302’709’354","1.05","302’709’354.20","1’061’170","285.26","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","289’620’774","1.00","289’620’774.25","291’589","993.25","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","288’596’798","1.00","288’596’797.50","448’250","643.83","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","270’587’123","0.93","270’587’123.26","1’370’686","197.41","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","261’713’310","0.90","261’713’309.88","633’443","413.16","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","254’431’914","0.88","254’431’913.86","1’407’334","180.79","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","252’879’376","0.87","252’879’376.47","1’777’461","142.27","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","246’660’986","0.85","246’660’985.54","701’878","351.43","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","222’466’761","0.77","222’466’761.00","330’550","673.02","United States","NASDAQ","USD"
"ASML","ASML HOLDING ADR REPRESENTING NV","Information Technology","Equity","210’041’097","0.73","210’041’096.58","119’154","1’762.77","Netherlands","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","201’991’093","0.70","201’991’093.08","1’613’863","125.16","United States","NASDAQ","USD"
"ARM","ARM HOLDINGS AMERICAN DEPOSITARY S","Information Technology","Equity","198’002’457","0.68","198’002’457.28","551’416","359.08","United Kingdom","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","187’408’862","0.65","187’408’862.30","824’065","227.42","United States","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","185’073’254","0.64","185’073’254.08","460’576","401.83","United States","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","184’876’000","0.64","184’876’000.32","397’617","464.96","United States","NASDAQ","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","182’650’338","0.63","182’650’337.50","1’007’726","181.25","United States","NASDAQ","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","181’074’762","0.63","181’074’761.70","1’586’010","114.17","Canada","NASDAQ","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","156’855’442","0.54","156’855’441.60","330’083","475.20","United States","NASDAQ","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","153’166’009","0.53","153’166’009.08","1’479’436","103.53","United States","NASDAQ","USD"
"FTNT","FORTINET INC","Information Technology","Equity","138’421’476","0.48","138’421’476.48","952’791","145.28","United States","NASDAQ","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","133’573’549","0.46","133’573’549.20","358’683","372.40","United States","NASDAQ","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","131’534’614","0.45","131’534’614.36","342’931","383.56","United States","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","125’830’405","0.43","125’830’404.93","469’569","267.97","United States","NASDAQ","USD"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","120’445’521","0.42","120’445’520.80","1’271’864","94.70","United States","NASDAQ","USD"
