ticker,name,sector,asset_class,weight,isin
AAPL,APPLE INC,Information Technology,Equity,7.32422,US0378331005
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,0.27535,US0090661010
ADBE,ADOBE INC,Information Technology,Equity,0.39682,US00724F1012
ADI,ANALOG DEVICES INC,Information Technology,Equity,0.81814,US0326541051
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.43507,US0530151036
ADSK,AUTODESK INC,Information Technology,Equity,0.19924,US0527691069
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.33162,US0255371017
ALAB,ASTERA LABS INC,Information Technology,Equity,0.29084,US04626A1034
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,0.19102,US02043Q1076
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,1.95095,US0382221051
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,3.72942,US0079031078
AMGN,AMGEN INC,Health Care,Equity,0.88038,US0311621009
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,4.24744,US0231351067
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,0.71533,US03831W1080
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,Information Technology,Equity,0.5645,US0420682058
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,Equity,0.7095,USN070592100
AVGO,BROADCOM INC,Information Technology,Equity,2.8219,US11135F1012
AXON,AXON ENTERPRISE INC,Industrials,Equity,0.22876,US05464C1018
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,0.62479,US09857L1089
BKR,BAKER HUGHES CLASS A,Energy,Equity,0.24102,US05722G1004
CAD,CAD CASH,Cash and/or Derivatives,Cash,0.0,-
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Consumer Staples,Equity,0.20907,GB00BDCPN049
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,0.45355,US1273871087
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,0.38368,US21037T1097
CMCSA,COMCAST CORP CLASS A,Communication,Equity,0.36961,US20030N1019
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,1.8628,US22160K1051
CPRT,COPART INC,Industrials,Equity,0.1218,US2172041061
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,0.87827,US22788C1053
CRWV,COREWEAVE INC CLASS A,Information Technology,Equity,0.16343,US21873S1087
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,1.95258,US17275R1023
CSX,CSX CORP,Industrials,Equity,0.39842,US1264081035
CTAS,CINTAS CORP,Industrials,Equity,0.32239,US1729081059
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,0.35677,US25809K1051
DDOG,DATADOG INC CLASS A,Information Technology,Equity,0.3765,US23804L1035
DXCM,DEXCOM INC,Health Care,Equity,0.12583,US2521311074
EA,ELECTRONIC ARTS INC,Communication,Equity,0.22926,US2855121099
EUR,EUR CASH,Cash and/or Derivatives,Cash,0.00106,-
EXC,EXELON CORP,Utilities,Equity,0.21701,US30161N1019
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,0.22509,US25278X1090
FAST,FASTENAL,Industrials,Equity,0.24113,US3119001044
FER,FERROVIAL NV,Industrials,Equity,0.21045,NL0015001FS8
FTNT,FORTINET INC,Information Technology,Equity,0.51516,US34959E1091
GBP,GBP CASH,Cash and/or Derivatives,Cash,0.00208,-
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,0.12847,US36266G1076
GILD,GILEAD SCIENCES INC,Health Care,Equity,0.75026,US3755581036
GOOG,ALPHABET INC CLASS C,Communication,Equity,3.18459,US02079K1079
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3.43127,US02079K3059
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,0.31881,US4385162056
