Fund Holdings as of,"17/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’361’441’206","8.06","2’361’441’205.90","11’538’926","204.65","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’063’156’827","7.04","2’063’156’826.90","6’971’302","295.95","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’539’225’802","5.25","1’539’225’801.81","1’475’499","1’043.19","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’336’118’883","4.56","1’336’118’883.47","3’526’217","378.91","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’210’657’675","4.13","1’210’657’675.00","5’097’506","237.50","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’095’372’190","3.74","1’095’372’189.60","2’137’395","512.48","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’005’711’643","3.43","1’005’711’642.81","2’764’539","363.79","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","939’457’463","3.21","939’457’463.34","2’370’093","396.38","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","935’011’723","3.19","935’011’723.20","2’582’192","362.10","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","884’522’804","3.02","884’522’804.30","2’251’267","392.90","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","794’835’059","2.71","794’835’058.94","1’400’393","567.58","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","792’973’457","2.71","792’973’456.80","6’548’088","121.10","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","756’861’036","2.58","756’861’036.34","6’407’018","118.13","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","616’834’835","2.11","616’834’835.28","1’040’334","592.92","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","612’551’369","2.09","612’551’369.00","1’637’050","374.18","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","607’554’803","2.07","607’554’803.43","5’178’171","117.33","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","561’933’791","1.92","561’933’790.81","581’959","965.59","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","425’992’301","1.45","425’992’301.28","5’535’243","76.96","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","409’606’727","1.40","409’606’727.02","1’715’774","238.73","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","392’301’223","1.34","392’301’223.24","3’003’148","130.63","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","379’133’575","1.29","379’133’575.20","193’554","1’958.80","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","358’942’867","1.23","358’942’867.00","1’189’025","301.88","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","331’768’251","1.13","331’768’250.84","1’145’846","289.54","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","315’583’258","1.08","315’583’258.02","443’154","712.13","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","314’395’615","1.07","314’395’615.35","609’471","515.85","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","305’663’590","1.04","305’663’590.40","286’720","1’066.07","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","301’048’509","1.03","301’048’509.28","1’067’056","282.13","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","298’528’781","1.02","298’528’780.77","1’401’741","212.97","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","264’770’968","0.90","264’770’968.05","638’849","414.45","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","261’412’033","0.89","261’412’032.76","1’441’796","181.31","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","253’180’194","0.86","253’180’193.98","1’788’122","141.59","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","242’121’801","0.83","242’121’800.58","708’663","341.66","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","224’957’463","0.77","224’957’462.56","329’386","682.96","United States","NASDAQ","USD"
"ASML","ASML HOLDING ADR REPRESENTING NV","Information Technology","Equity","215’192’694","0.73","215’192’694.30","115’210","1’867.83","Netherlands","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","203’509’004","0.69","203’509’004.40","1’622’232","125.45","United States","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","193’595’046","0.66","193’595’046.48","403’752","479.49","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","189’663’772","0.65","189’663’771.79","829’639","228.61","United States","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","187’933’888","0.64","187’933’887.84","467’288","402.18","United States","NASDAQ","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","178’758’824","0.61","178’758’823.68","1’041’536","171.63","United States","NASDAQ","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","174’296’963","0.60","174’296’962.53","1’612’517","108.09","Canada","NASDAQ","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","152’899’667","0.52","152’899’666.78","333’122","458.99","United States","NASDAQ","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","148’904’988","0.51","148’904’987.70","1’491’735","99.82","United States","NASDAQ","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","141’655’833","0.48","141’655’832.80","363’593","389.60","United States","NASDAQ","USD"
"FTNT","FORTINET INC","Information Technology","Equity","140’489’943","0.48","140’489’942.78","974’677","144.14","United States","NASDAQ","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","137’017’668","0.47","137’017’668.03","347’223","394.61","United States","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","126’783’119","0.43","126’783’118.97","474’541","267.17","United States","NASDAQ","USD"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","118’223’068","0.40","118’223’068.00","1’289’800","91.66","United States","NASDAQ","USD"
"SNPS","SYNOPSYS INC","Information Technology","Equity","115’952’611","0.40","115’952’610.54","251’121","461.74","United States","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","115’513’374","0.39","115’513’374.12","528’037","218.76","United States","NASDAQ","USD"
"CSX","CSX CORP","Industrials","Equity","110’425’953","0.38","110’425’953.12","2’423’216","45.57","United States","NASDAQ","USD"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","108’003’639","0.37","108’003’638.52","66’186","1’631.82","United States","NASDAQ","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","107’017’385","0.37","107’017’385.00","4’716’500","22.69","United States","NASDAQ","USD"
