Fund Holdings as of,"08/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’419’227’326.72","8.29","2’419’227’326.72","11’595’223.00","208.64","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’112’394’445.16","7.24","2’112’394’445.16","7’005’354.00","301.54","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’458’931’105.94","5.00","1’458’931’105.94","3’543’331.00","411.74","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’407’471’825.44","4.82","1’407’471’825.44","1’482’673.00","949.28","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’256’117’870.64","4.31","1’256’117’870.64","5’122’412.00","245.22","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’053’120’477.07","3.61","1’053’120’477.07","2’147’779.00","490.33","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’009’297’705.22","3.46","1’009’297’705.22","2’778’062.00","363.31","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","973’970’451.15","3.34","973’970’451.15","2’381’637.00","408.95","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","937’163’916.00","3.21","937’163’916.00","2’594’800.00","361.17","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","897’238’888.20","3.08","897’238’888.20","2’262’327.00","396.60","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","823’828’127.85","2.82","823’828’127.85","1’407’315.00","585.39","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","771’483’754.16","2.64","771’483’754.16","6’438’152.00","119.83","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","725’582’334.04","2.49","725’582’334.04","6’580’052.00","110.27","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","646’000’496.05","2.21","646’000’496.05","5’203’387.00","124.15","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","569’997’734.25","1.95","569’997’734.25","584’763.00","974.75","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","533’731’930.20","1.83","533’731’930.20","1’645’036.00","324.45","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","514’543’063.86","1.76","514’543’063.86","1’045’458.00","492.17","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","459’648’638.40","1.58","459’648’638.40","5’562’060.00","82.64","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","411’818’968.44","1.41","411’818’968.44","3’017’652.00","136.47","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","363’526’514.76","1.25","363’526’514.76","172’446.00","2’108.06","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","347’558’302.10","1.19","347’558’302.10","1’194’769.00","290.90","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","332’608’464.20","1.14","332’608’464.20","1’151’492.00","288.85","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","319’434’680.00","1.09","319’434’680.00","194’540.00","1’642.00","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","307’381’329.12","1.05","307’381’329.12","612’411.00","501.92","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","306’743’635.59","1.05","306’743’635.59","1’408’567.00","217.77","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","285’584’593.68","0.98","285’584’593.68","1’072’296.00","266.33","United States","NASDAQ","USD"
