Fund Holdings as of,"22/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’374’071’863","7.90","2’374’071’862.50","11’378’250","208.65","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’051’045’621","6.83","2’051’045’621.45","6’905’645","297.01","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’773’233’792","5.90","1’773’233’791.94","1’463’813","1’211.38","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’282’966’541","4.27","1’282’966’541.24","3’492’586","367.34","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’177’270’244","3.92","1’177’270’243.80","5’057’220","232.79","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’167’293’210","3.89","1’167’293’210.40","2’116’080","551.63","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","957’172’070","3.19","957’172’070.40","2’737’280","349.68","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","950’903’886","3.17","950’903’886.05","2’347’621","405.05","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","918’899’625","3.06","918’899’625.42","6’519’793","140.94","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","894’279’244","2.98","894’279’244.38","2’564’021","348.78","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","873’683’286","2.91","873’683’285.85","2’228’045","392.13","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","785’939’802","2.62","785’939’801.85","1’393’881","563.85","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","741’297’905","2.47","741’297’905.46","6’326’147","117.18","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","665’520’929","2.22","665’520’929.30","1’625’045","409.54","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","658’927’031","2.19","658’927’031.12","1’029’284","640.18","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","622’441’659","2.07","622’441’659.36","5’121’712","121.53","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","548’453’275","1.83","548’453’275.00","576’500","951.35","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","455’327’744","1.52","455’327’743.92","1’691’662","269.16","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","437’565’696","1.46","437’565’696.12","192’444","2’273.73","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","397’359’761","1.32","397’359’761.36","5’452’247","72.88","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","392’962’967","1.31","392’962’967.28","1’182’626","332.28","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","356’545’100","1.19","356’545’099.50","2’983’641","119.50","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","349’964’165","1.16","349’964’165.04","1’136’764","307.86","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","328’139’765","1.09","328’139’765.38","447’899","732.62","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","318’763’871","1.06","318’763’870.56","291’364","1’094.04","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","310’434’201","1.03","310’434’200.90","600’790","516.71","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","303’916’681","1.01","303’916’680.90","1’369’611","221.90","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","303’680’803","1.01","303’680’803.20","1’060’338","286.40","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","281’963’893","0.94","281’963’893.12","632’944","445.48","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","253’206’134","0.84","253’206’133.92","1’406’232","180.06","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","249’909’121","0.83","249’909’121.18","1’776’058","140.71","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","241’760’754","0.80","241’760’754.00","701’325","344.72","United States","NASDAQ","USD"
