Fund Holdings as of,"09/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’414’428’771.03","8.37","2’414’428’771.03","11’597’237.00","208.19","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’035’758’913.50","7.06","2’035’758’913.50","7’006’570.00","290.55","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’429’663’659.27","4.95","1’429’663’659.27","3’543’947.00","403.41","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’387’860’293.59","4.81","1’387’860’293.59","1’482’931.00","935.89","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’251’059’115.38","4.34","1’251’059’115.38","5’123’302.00","244.19","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’021’457’492.26","3.54","1’021’457’492.26","2’148’153.00","475.51","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’012’112’437.44","3.51","1’012’112’437.44","2’778’544.00","364.26","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","944’911’990.68","3.27","944’911’990.68","2’382’051.00","396.68","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","940’233’122.50","3.26","940’233’122.50","2’595’250.00","362.29","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","887’347’883.04","3.08","887’347’883.04","2’262’719.00","392.16","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","822’844’915.81","2.85","822’844’915.81","1’407’559.00","584.59","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","765’500’655.36","2.65","765’500’655.36","6’439’272.00","118.88","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","710’242’672.32","2.46","710’242’672.32","6’581’196.00","107.92","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","626’388’705.48","2.17","626’388’705.48","5’204’293.00","120.36","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","566’494’390.35","1.96","566’494’390.35","584’865.00","968.59","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","538’283’545.52","1.87","538’283’545.52","1’645’322.00","327.16","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","521’993’944.40","1.81","521’993’944.40","1’045’640.00","499.21","United States","NASDAQ","USD"
