Fund Holdings as of,"01/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’591’513’032.76","8.60","2’591’513’032.76","11’550’691.00","224.36","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’137’576’370.94","7.09","2’137’576’370.94","6’978’474.00","306.31","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’625’496’983.48","5.39","1’625’496’983.48","3’529’699.00","460.52","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’529’397’257.50","5.07","1’529’397’257.50","1’476’965.00","1’035.50","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’333’140’807.36","4.42","1’333’140’807.36","5’102’736.00","261.26","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’091’424’665.39","3.62","1’091’424’665.39","2’139’503.00","510.13","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’041’570’101.70","3.46","1’041’570’101.70","2’767’410.00","376.37","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","1’036’621’049.87","3.44","1’036’621’049.87","2’253’671.00","459.97","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","986’667’398.28","3.27","986’667’398.28","2’372’481.00","415.88","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","963’064’158.16","3.20","963’064’158.16","2’584’852.00","372.58","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","841’817’507.57","2.79","841’817’507.57","1’401’931.00","600.47","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","734’971’972.80","2.44","734’971’972.80","6’413’368.00","114.60","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","716’630’052.19","2.38","716’630’052.19","6’554’743.00","109.33","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","628’895’006.19","2.09","628’895’006.19","5’183’343.00","121.33","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","551’111’913.33","1.83","551’111’913.33","582’503.00","946.11","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","519’668’349.44","1.72","519’668’349.44","1’638’712.00","317.12","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","482’915’345.85","1.60","482’915’345.85","3’006’009.00","160.65","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","477’155’648.46","1.58","477’155’648.46","1’041’438.00","458.17","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","475’662’913.80","1.58","475’662’913.80","5’540’628.00","85.85","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","348’955’205.20","1.16","348’955’205.20","1’190’161.00","293.20","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","341’351’042.56","1.13","341’351’042.56","193’792.00","1’761.43","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","333’271’711.44","1.11","333’271’711.44","171’786.00","1’940.04","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","321’310’066.38","1.07","321’310’066.38","1’403’162.00","228.99","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","320’969’130.24","1.06","320’969’130.24","1’068’188.00","300.48","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","303’451’436.83","1.01","303’451’436.83","610’063.00","497.41","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","269’506’902.80","0.89","269’506’902.80","1’443’220.00","186.74","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","264’466’108.20","0.88","264’466’108.20","287’070.00","921.26","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","257’820’439.74","0.86","257’820’439.74","329’622.00","782.17","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","257’505’355.47","0.85","257’505’355.47","639’463.00","402.69","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","253’293’911.20","0.84","253’293’911.20","1’789’810.00","141.52","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","251’702’886.68","0.84","251’702’886.68","1’147’076.00","219.43","United States","NASDAQ","USD"
