Fund Holdings as of,"10/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’297’649’953.50","8.22","2’297’649’953.50","11’464’175.00","200.42","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’019’532’648.60","7.22","2’019’532’648.60","6’926’170.00","291.58","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’392’089’169.20","4.98","1’392’089’169.20","3’503’345.00","397.36","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’307’418’486.44","4.68","1’307’418’486.44","1’465’913.00","891.88","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’205’345’288.00","4.31","1’205’345’288.00","5’064’476.00","238.00","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","978’851’839.76","3.50","978’851’839.76","2’746’652.00","356.38","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","960’670’042.80","3.44","960’670’042.80","2’123’497.00","452.40","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","906’443’166.64","3.24","906’443’166.64","2’565’502.00","353.32","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","898’535’696.85","3.21","898’535’696.85","2’354’715.00","381.59","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","832’284’628.30","2.98","832’284’628.30","2’236’723.00","372.10","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","794’430’168.10","2.84","794’430’168.10","1’391’345.00","570.98","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","767’608’168.42","2.75","767’608’168.42","6’365’438.00","120.59","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","696’361’564.80","2.49","696’361’564.80","6’505’620.00","107.04","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","611’170’045.20","2.19","611’170’045.20","5’144’529.00","118.80","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","568’550’116.05","2.03","568’550’116.05","578’165.00","983.37","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","523’384’530.40","1.87","523’384’530.40","1’626’428.00","321.80","United States","NASDAQ","USD"
