Fund Holdings as of,"11/Jun/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’355’505’526.94","8.13","2’355’505’526.94","11’497’562.00","204.87","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’053’542’059.75","7.09","2’053’542’059.75","6’946’325.00","295.63","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’464’124’090.52","5.06","1’464’124’090.52","1’470’196.00","995.87","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’371’483’400.74","4.74","1’371’483’400.74","3’513’561.00","390.34","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’226’683’871.26","4.24","1’226’683’871.26","5’079’226.00","241.51","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’040’255’384.15","3.59","1’040’255’384.15","2’129’707.00","488.45","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","985’528’983.88","3.40","985’528’983.88","2’754’644.00","357.77","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","942’626’652.75","3.25","942’626’652.75","2’361’585.00","399.15","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","917’412’121.68","3.17","917’412’121.68","2’572’953.00","356.56","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","864’917’178.69","2.99","864’917’178.69","2’243’217.00","385.57","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","793’178’127.12","2.74","793’178’127.12","1’395’384.00","568.43","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","769’273’084.50","2.66","769’273’084.50","6’384’009.00","120.50","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","763’115’695.52","2.64","763’115’695.52","6’524’587.00","116.96","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","628’588’707.48","2.17","628’588’707.48","5’159’556.00","121.83","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","591’332’835.96","2.04","591’332’835.96","1’631’173.00","362.52","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","572’864’413.44","1.98","572’864’413.44","1’036’596.00","552.64","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","565’764’579.09","1.95","565’764’579.09","579’861.00","975.69","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","448’229’162.43","1.55","448’229’162.43","5’515’309.00","81.27","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","412’296’386.04","1.42","412’296’386.04","170’961.00","2’411.64","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","392’235’533.96","1.35","392’235’533.96","2’992’337.00","131.08","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","362’862’374.07","1.25","362’862’374.07","192’857.00","1’881.51","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","351’990’413.40","1.22","351’990’413.40","1’184’754.00","297.10","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","320’497’554.69","1.11","320’497’554.69","1’141’739.00","280.71","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","313’025’681.12","1.08","313’025’681.12","607’298.00","515.44","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","297’206’359.08","1.03","297’206’359.08","1’063’236.00","279.53","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","283’470’984.64","0.98","283’470’984.64","1’396’684.00","202.96","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","266’951’985.12","0.92","266’951’985.12","1’436’616.00","185.82","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","262’339’702.98","0.91","262’339’702.98","636’546.00","412.13","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","256’078’566.72","0.88","256’078’566.72","1’781’664.00","143.73","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","250’006’722.84","0.86","250’006’722.84","706’114.00","354.06","United States","NASDAQ","USD"
