iShares Russell 3000 ETF
Fund Holdings as of,"May 29, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MRK","MERCK & CO INC","Health Care","Equity","79,698,041.92","0.41","79,698,041.92","671,311.00","118.72","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","74,966,491.60","0.38","74,966,491.60","245,245.00","305.68","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","74,879,725.40","0.38","74,879,725.40","251,443.00","297.80","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","74,736,934.44","0.38","74,736,934.44","421,338.00","177.38","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","72,585,194.22","0.37","72,585,194.22","289,161.00","251.02","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","70,637,007.36","0.36","70,637,007.36","72,948.00","968.32","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","68,255,295.78","0.35","68,255,295.78","35,518.00","1,921.71","United States","NASDAQ","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","65,587,251.10","0.33","65,587,251.10","38,695.00","1,694.98","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","64,885,316.92","0.33","64,885,316.92","836,798.00","77.54","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","64,877,381.92","0.33","64,877,381.92","361,112.00","179.66","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","63,810,032.00","0.33","63,810,032.00","306,779.00","208.00","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","63,215,588.42","0.32","63,215,588.42","127,018.00","497.69","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","61,005,603.30","0.31","61,005,603.30","216,570.00","281.69","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","58,816,199.40","0.30","58,816,199.40","467,166.00","125.90","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","54,709,728.45","0.28","54,709,728.45","132,197.00","413.85","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","54,579,609.14","0.28","54,579,609.14","1,141,594.00","47.81","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","53,816,079.20","0.27","53,816,079.20","192,751.00","279.20","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","53,309,205.85","0.27","53,309,205.85","369,715.00","144.19","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","50,188,246.53","0.26","50,188,246.53","101,903.00","492.51","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","49,035,015.00","0.25","49,035,015.00","329,625.00","148.76","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","49,012,210.94","0.25","49,012,210.94","563,294.00","87.01","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","48,985,772.00","0.25","48,985,772.00","67,012.00","731.00","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","48,935,526.63","0.25","48,935,526.63","480,561.00","101.83","United States","NYSE","USD","1.00","USD","-"
