iShares Russell 3000 ETF
Fund Holdings as of,"Jun 12, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,293,782,865.48","6.73","1,293,782,865.48","6,305,292.00","205.19","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,129,943,363.29","5.88","1,129,943,363.29","3,881,233.00","291.13","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","780,720,010.70","4.06","780,720,010.70","1,998,055.00","390.74","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","616,493,352.80","3.21","616,493,352.80","2,584,336.00","238.55","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","563,265,354.24","2.93","563,265,354.24","1,566,018.00","359.68","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","475,375,696.77","2.47","475,375,696.77","1,244,211.00","382.07","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","456,696,621.04","2.37","456,696,621.04","1,275,119.00","358.16","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","333,509,542.58","1.73","333,509,542.58","588,221.00","566.98","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","308,954,673.81","1.61","308,954,673.81","760,167.00","406.43","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","295,481,297.37","1.54","295,481,297.37","301,017.00","981.61","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","244,536,523.00","1.27","244,536,523.00","215,831.00","1,133.00","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","243,107,346.50","1.26","243,107,346.50","496,898.00","489.25","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","234,636,506.96","1.22","234,636,506.96","731,593.00","320.72","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","221,984,035.39","1.15","221,984,035.39","433,927.00","511.57","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","167,352,067.72","0.87","167,352,067.72","1,138,372.00","147.01","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","156,100,620.90","0.81","156,100,620.90","648,070.00","240.87","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","148,157,204.93","0.77","148,157,204.93","1,189,349.00","124.57","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","146,217,082.99","0.76","146,217,082.99","453,541.00","322.39","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","141,887,445.44","0.74","141,887,445.44","1,172,236.00","121.04","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","129,861,827.20","0.68","129,861,827.20","1,072,352.00","121.10","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","124,030,565.73","0.64","124,030,565.73","338,133.00","366.81","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","121,146,448.00","0.63","121,146,448.00","213,568.00","567.25","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","117,422,260.20","0.61","117,422,260.20","119,532.00","982.35","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","113,663,721.39","0.59","113,663,721.39","124,827.00","910.57","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","108,634,041.90","0.56","108,634,041.90","477,030.00","227.73","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","106,063,030.72","0.55","106,063,030.72","216,464.00","489.98","United States","NYSE","USD","1.00","USD","-"
