iShares Russell 3000 ETF
Fund Holdings as of,"Jun 05, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,296,054,383.40","6.79","1,296,054,383.40","6,319,134.00","205.10","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,195,476,687.02","6.26","1,195,476,687.02","3,889,753.00","307.34","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","834,357,091.47","4.37","834,357,091.47","2,002,441.00","416.67","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","637,220,160.30","3.34","637,220,160.30","2,590,010.00","246.03","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","578,391,619.68","3.03","578,391,619.68","1,569,456.00","368.53","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","480,983,323.39","2.52","480,983,323.39","1,246,943.00","385.73","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","467,411,653.44","2.45","467,411,653.44","1,277,919.00","365.76","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","349,581,209.00","1.83","349,581,209.00","589,513.00","593.00","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","297,877,485.00","1.56","297,877,485.00","761,835.00","391.00","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","260,651,944.77","1.36","260,651,944.77","301,677.00","864.01","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","244,731,803.10","1.28","244,731,803.10","216,305.00","1,131.42","United States","NYSE","USD","1.00","USD","-"
