Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,7.79%,1.87%,27.88%,44.60%,19.04%,28.22%,45.39%,-6.07%,247.08%,2.62%,2.79%,2.21M,0.00,161.98,0.02%,51
AAA,-4.08%,-13.94%,-18.99%,-20.44%,-16.03%,36.75%,57.39%,-6.94%,-,3.30%,3.68%,5.32M,0.01,44.62,-0.04%,"2,328"
AAAA,-0.06%,-0.04%,-0.33%,-0.02%,-0.26%,-0.58%,0.26%,-0.27%,-,0.35%,0.34%,25.45K,0.00,24.93,0.00%,0
AAAAA,1.91%,1.51%,1.38%,17.14%,13.45%,16.38%,-,-,-,0.38%,0.33%,6.13K,0.00,31.02,0.00%,0
AAAAC,0.10%,0.05%,0.22%,0.60%,0.30%,-,-,-,-,0.01%,0.00%,75.30K,0.00,20.11,0.00%,0
AAAAD,0.20%,-1.41%,-2.21%,-,-2.06%,-,-,-,-,0.01%,0.00%,0.16K,0.00,48.91,0.00%,0
AAAAP,0.26%,0.39%,-,-,1.41%,-,-,-,-,0.24%,0.16%,49.88K,0.00,25.48,0.00%,0
AAAAU,0.52%,-6.46%,5.06%,-1.84%,0.07%,15.08%,123.16%,141.93%,-,1.44%,1.39%,1.35M,0.03,42.58,-0.58%,"1,826"
AAAC,-0.20%,-,-,-,0.80%,-,-,-,-,0.38%,-,63.78K,0.00,10.08,0.00%,0
AAACG,-7.65%,-19.80%,-24.30%,-21.36%,2.49%,-66.94%,-29.16%,-66.39%,66.15%,9.07%,7.64%,223.48K,0.00,0.81,0.00%,0
AAACI,-0.10%,0.30%,0.60%,-,0.90%,-,-,-,-,0.11%,0.10%,48.01K,0.00,10.04,0.00%,0
AAACO,0.10%,0.20%,1.11%,-,0.50%,-,-,-,-,0.00%,0.06%,20.28K,0.00,10.00,0.00%,0
AAACP,0.10%,0.20%,1.00%,-,1.31%,-,-,-,-,0.02%,0.10%,57.17K,0.00,10.08,0.00%,0
AAADR,0.59%,1.60%,1.72%,7.12%,-1.99%,-1.66%,71.06%,32.44%,109.77%,0.72%,0.61%,2.74K,0.00,84.54,0.00%,0
AAADX,6.55%,-12.97%,-29.05%,-,-37.25%,-,-,-,-,5.29%,6.20%,1.47M,0.00,13.02,1.01%,210
AAAEQ,2.10%,2.09%,4.78%,19.75%,12.56%,-,-,-,-,0.39%,0.17%,1.16K,0.00,55.52,0.00%,0
AAAL,7.20%,-0.94%,-15.18%,26.64%,-10.70%,11.03%,6.12%,-33.28%,-61.16%,3.31%,2.82%,95.14M,0.02,13.69,0.88%,"77,347"
AAALG,12.19%,-5.74%,-35.25%,31.89%,-39.56%,-15.40%,-,-,-,6.12%,4.85%,34.77K,0.01,10.71,-0.74%,25
AAAME,4.65%,0.75%,-25.82%,-46.64%,-52.30%,-60.87%,-30.56%,-64.94%,-59.21%,4.79%,6.68%,62.83K,0.00,1.35,0.00%,0
AAAMI,5.84%,3.59%,27.37%,85.15%,100.23%,92.61%,365.20%,258.51%,577.54%,2.89%,3.02%,458.40K,0.00,94.11,0.00%,0
AAAOG,25.91%,-31.36%,-66.11%,-,-84.31%,-,-,-,-,11.21%,12.21%,2.37M,1.09,2.43,-1.62%,"129,296"
AAAOI,12.68%,-13.98%,-27.18%,12.12%,208.00%,251.57%,1020.77%,1438.25%,415.21%,5.75%,5.95%,10.01M,0.49,107.37,-1.20%,"246,394"
AAAON,2.25%,-4.34%,-41.30%,-5.36%,-0.34%,-18.24%,33.43%,73.02%,295.92%,3.26%,4.04%,1.12M,0.00,75.99,-0.54%,120
AAAOX,25.81%,-31.46%,-66.32%,-,-57.39%,-,-,-,-,11.42%,12.30%,7.78M,2.45,10.87,-2.42%,"954,764"
AAAOZ,-23.50%,15.62%,-,-,-52.08%,-,-,-,-,12.54%,11.98%,1.84M,0.69,12.30,1.50%,"63,529"
AAAP,-5.22%,-3.24%,-24.83%,-18.80%,4.83%,-31.52%,-28.47%,-80.49%,-72.38%,4.31%,3.81%,1.94M,0.01,41.20,0.46%,947
AAAPB,3.33%,17.69%,24.78%,74.18%,40.71%,68.43%,99.55%,-,-,3.15%,3.79%,62.90K,0.00,45.12,0.00%,0
AAAPD,-3.90%,-10.14%,-15.55%,-28.62%,-22.96%,-28.01%,-54.55%,-,-,1.72%,2.14%,9.76M,0.02,10.10,-1.74%,"9,788"
AAAPE,2.96%,17.04%,-,-,13.74%,-,-,-,-,2.47%,3.44%,16.91K,0.00,16.94,0.00%,0
AAAPG,-3.35%,-8.43%,-7.41%,-17.01%,-39.56%,-59.18%,-,-,-,1.83%,2.00%,10.22K,0.00,15.86,0.00%,0
AAAPL,2.47%,9.75%,15.36%,35.00%,24.88%,32.58%,94.24%,132.78%,1084.82%,1.75%,2.18%,53.16M,0.03,339.51,0.16%,"84,832"
AAAPR,0.36%,0.13%,1.41%,4.02%,4.86%,6.81%,-,-,-,0.18%,0.13%,3.77K,0.00,29.80,0.00%,0
AAAPU,4.39%,18.57%,26.55%,65.79%,37.25%,48.08%,126.35%,-,-,3.47%,4.30%,1.81M,0.05,46.09,-0.17%,"4,101"
AAAPW,2.61%,8.62%,9.39%,22.77%,4.02%,0.26%,-,-,-,1.87%,2.20%,16.34K,0.08,42.06,0.44%,62
AAAPX,3.46%,17.64%,23.71%,70.36%,36.55%,59.10%,-,-,-,3.08%,3.89%,61.89K,0.00,41.62,0.00%,0
AAAPY,1.10%,9.09%,10.80%,31.81%,13.18%,20.13%,-,-,-,1.10%,1.49%,7.02K,0.00,28.17,0.00%,0
AAARD,0.36%,-5.43%,36.52%,36.86%,-57.56%,-48.85%,-,-,-,8.25%,11.89%,253.27K,0.00,5.57,0.00%,0
AAAT,1.57%,-3.72%,-9.32%,19.91%,16.11%,5.93%,14.12%,-42.17%,-49.09%,1.43%,1.52%,436.55K,0.00,21.98,0.00%,0
AAAUA,2.15%,2.12%,4.98%,18.95%,20.06%,-,-,-,-,0.31%,0.22%,5.45K,0.00,59.48,0.00%,0
AAAUB,2.37%,2.61%,-,-,5.08%,-,-,-,-,0.29%,0.25%,4.70K,0.00,51.99,0.00%,0
AAAUC,3.66%,-2.36%,-13.29%,-26.86%,-2.19%,41.65%,-,-,-,4.03%,3.55%,694.89K,0.00,22.38,0.00%,0
AAAUS,2.14%,2.08%,4.87%,19.31%,13.21%,15.88%,-,-,-,0.10%,0.08%,8.93K,0.00,62.38,0.00%,0
AAAVM,-0.28%,-1.58%,-1.10%,11.61%,14.91%,18.55%,51.03%,23.02%,-,0.31%,0.16%,1.34K,0.00,33.92,0.00%,0
AAAXJ,5.10%,2.89%,2.53%,21.76%,28.52%,30.81%,85.78%,39.56%,95.77%,1.16%,1.02%,509.38K,0.00,119.68,-0.08%,1
AAB,0.78%,0.97%,1.14%,-1.97%,-5.48%,-6.93%,14.16%,-26.78%,58.47%,1.85%,1.51%,283.29K,0.00,36.37,0.00%,0
AABAT,3.15%,-10.10%,-18.64%,-20.33%,-30.82%,-38.71%,-78.71%,-89.30%,-30.71%,7.29%,6.29%,3.41M,0.01,2.31,-0.84%,"2,174"
AABBV,0.57%,-0.16%,12.68%,29.08%,15.77%,18.84%,73.19%,148.59%,306.47%,1.77%,1.93%,6.24M,0.00,264.53,0.02%,970
AABCB,-2.15%,-3.62%,-4.99%,11.42%,11.75%,9.34%,121.87%,78.38%,134.73%,2.04%,1.60%,464.51K,0.00,83.00,0.00%,0
AABCL,10.43%,11.31%,123.80%,273.89%,268.42%,160.87%,152.00%,-40.96%,-,6.14%,5.95%,7.41M,0.02,12.60,-0.47%,"7,333"
AABCS,-2.18%,-4.36%,4.99%,17.96%,13.25%,14.05%,-,-,-,0.38%,0.34%,2.11K,0.00,34.46,0.00%,0
AABEO,4.93%,-5.75%,0.34%,29.86%,8.91%,4.74%,51.44%,-80.71%,-96.41%,5.02%,3.82%,1.50M,0.01,5.74,1.23%,519
AABEQ,-1.55%,-2.22%,2.15%,2.71%,6.85%,6.97%,37.30%,42.79%,-,0.47%,0.41%,12.75K,0.00,38.31,0.00%,0
AABEV,-1.32%,3.47%,-5.70%,6.43%,20.65%,31.28%,21.83%,13.09%,-40.94%,1.55%,2.08%,27.90M,0.00,2.98,0.00%,3
AABFL,2.03%,-1.10%,-3.72%,15.73%,14.25%,11.86%,59.05%,62.70%,-,0.73%,0.63%,13.09K,0.00,81.54,0.00%,0
AABG,-11.66%,-14.31%,-5.94%,-0.29%,-20.63%,-23.49%,-18.06%,1.88%,246.64%,5.03%,3.15%,251.52K,0.00,184.55,0.00%,0
AABI,0.06%,-0.91%,-1.07%,-1.09%,-0.93%,-1.82%,-,-,-,0.33%,0.11%,299.09K,0.00,24.58,0.02%,1
AABIG,2.08%,1.80%,5.51%,21.49%,11.25%,12.21%,-,-,-,0.80%,0.34%,3.07K,0.00,35.61,0.00%,0
AABLD,-0.42%,-3.42%,5.63%,6.08%,9.82%,9.95%,18.13%,-,-,0.57%,0.67%,11.85K,0.00,31.95,0.00%,0
AABLG,2.62%,-1.30%,-6.35%,8.61%,-0.80%,0.93%,19.29%,-12.63%,-,0.17%,0.26%,2.13K,0.00,31.45,0.00%,0
AABLS,-3.35%,-7.50%,-5.63%,16.28%,4.63%,-11.36%,-,-,-,0.16%,0.32%,1.71K,0.00,20.96,0.00%,0
AABLV,-3.06%,4.24%,-14.41%,49.63%,40.64%,0.00%,-69.45%,-,-,13.68%,11.56%,50.32K,0.00,0.95,0.00%,0
