Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,-2.69%,-1.67%,13.06%,31.65%,7.89%,19.12%,27.79%,-14.86%,227.24%,2.29%,2.81%,2.19M,0.75,146.80,-0.09%,"1,646,765"
AAA,-6.04%,-5.32%,-31.73%,-26.17%,-11.65%,41.25%,55.52%,-2.19%,-,3.55%,3.87%,5.50M,0.70,46.95,-2.71%,"3,833,063"
AAAA,-0.00%,-0.02%,0.08%,-0.22%,-0.20%,-0.40%,0.58%,-0.23%,-,0.51%,0.28%,23.99K,0.63,24.95,0.38%,"15,000"
AAAAA,-1.36%,-1.83%,0.55%,13.14%,11.32%,15.38%,-,-,-,0.29%,0.29%,6.25K,0.44,30.44,-0.66%,"2,779"
AAAAC,0.10%,0.05%,0.22%,0.50%,0.20%,-,-,-,-,0.00%,0.00%,76.48K,0.00,20.09,0.00%,11
AAAAD,-1.03%,-1.73%,-2.43%,-,-2.25%,-,-,-,-,0.00%,0.00%,0.17K,1.61,48.81,-0.24%,266
AAAAP,0.12%,0.24%,-,-,1.15%,-,-,-,-,0.13%,0.12%,53.11K,0.08,25.41,0.04%,"4,466"
AAAAU,-3.41%,-1.54%,1.69%,-14.65%,-0.75%,17.35%,123.26%,135.26%,-,1.32%,1.34%,1.42M,1.07,42.23,-1.45%,"1,522,984"
AAAC,0.40%,-,-,-,1.00%,-,-,-,-,0.48%,-,83.49K,0.14,10.10,-0.20%,"11,651"
AAACG,-1.47%,-20.99%,-10.51%,-11.41%,10.98%,-58.82%,-23.09%,-69.01%,73.80%,9.81%,8.25%,227.65K,0.01,0.88,-0.20%,"2,857"
AAACI,0.10%,0.50%,0.90%,-,1.01%,-,-,-,-,0.10%,0.10%,37.57K,0.13,10.05,0.00%,"4,863"
AAACO,0.30%,0.50%,1.11%,-,0.50%,-,-,-,-,0.00%,0.06%,31.14K,0.00,10.00,0.00%,9
AAACP,0.10%,0.40%,0.80%,-,1.21%,-,-,-,-,0.02%,0.11%,65.95K,0.06,10.07,0.10%,"3,644"
AAADR,-0.75%,-1.14%,0.57%,1.92%,-2.56%,-1.02%,65.50%,24.99%,115.16%,0.86%,0.83%,2.84K,1.23,84.04,-1.32%,"3,502"
AAADX,-9.90%,-38.03%,-42.98%,-,-43.86%,-,-,-,-,7.42%,6.82%,1.31M,0.77,11.65,-4.51%,"1,010,418"
AAAEQ,-1.11%,-1.94%,3.14%,15.00%,10.24%,-,-,-,-,0.10%,0.09%,0.65K,0.08,54.38,-0.59%,49
AAAL,-0.23%,-13.01%,-12.55%,27.18%,-14.55%,1.47%,-1.21%,-31.81%,-64.00%,3.05%,2.60%,100.01M,0.80,13.10,0.69%,"79,763,049"
AAALG,-0.65%,-25.53%,-29.48%,36.07%,-43.05%,-27.61%,-,-,-,5.46%,4.10%,30.92K,1.17,10.09,1.65%,"36,065"
AAAME,-5.15%,-9.15%,-24.56%,-53.43%,-54.42%,-60.67%,-33.85%,-67.01%,-62.82%,4.71%,6.96%,62.29K,0.15,1.29,0.00%,"9,276"
AAAMI,-4.98%,-4.55%,13.22%,76.32%,89.19%,83.08%,338.03%,234.29%,597.41%,3.41%,2.88%,475.34K,1.15,88.92,-2.31%,"546,777"
AAAOG,-19.63%,-52.79%,-80.61%,-,-87.44%,-,-,-,-,12.52%,16.10%,2.28M,1.53,1.95,-17.93%,"3,488,091"
AAAOI,-9.26%,-26.38%,-43.35%,-1.08%,174.70%,253.75%,881.65%,1228.16%,343.33%,6.15%,7.75%,10.50M,0.81,95.76,-9.11%,"8,519,369"
AAAON,-4.86%,-13.84%,-40.61%,-9.96%,-0.93%,-8.08%,23.96%,73.20%,315.05%,3.99%,4.27%,1.10M,1.14,75.54,-5.33%,"1,250,958"
AAAOX,-18.93%,-52.69%,-80.52%,-,-65.58%,-,-,-,-,12.42%,16.28%,7.73M,1.19,8.78,-17.79%,"9,218,962"
AAAOZ,16.51%,35.73%,-,-,-38.14%,-,-,-,-,12.93%,16.09%,2.00M,0.37,15.88,18.15%,"738,885"
AAAP,1.88%,-21.53%,-25.97%,-12.99%,14.53%,-26.32%,-24.51%,-77.63%,-70.14%,3.84%,4.36%,1.92M,1.00,45.01,0.74%,"1,920,188"
AAAPB,8.19%,18.13%,25.54%,65.21%,36.17%,78.44%,89.19%,-,-,4.35%,3.97%,65.76K,0.42,43.66,0.47%,"27,604"
AAAPD,-4.04%,-8.08%,-13.98%,-26.43%,-20.21%,-31.99%,-53.01%,-,-,2.46%,2.23%,9.79M,0.89,10.46,-0.10%,"8,695,915"
AAAPE,8.44%,17.84%,-,-,10.48%,-,-,-,-,4.16%,3.71%,17.04K,3.09,16.45,0.80%,"52,614"
AAAPG,-6.84%,-13.63%,-6.76%,-32.83%,-37.46%,-59.44%,-,-,-,1.20%,2.58%,10.88K,0.35,16.41,1.93%,"3,821"
AAAPL,4.10%,9.11%,14.41%,33.17%,22.52%,42.30%,89.53%,124.87%,1092.02%,2.47%,2.27%,53.81M,0.73,333.08,0.24%,"39,269,147"
AAAPR,-0.46%,-0.44%,0.93%,3.70%,4.49%,6.60%,-,-,-,0.12%,0.12%,3.34K,3.69,29.69,-0.09%,"12,320"
AAAPU,7.91%,17.39%,24.05%,61.63%,32.85%,70.77%,115.45%,-,-,4.88%,4.49%,1.85M,0.70,44.61,0.38%,"1,303,042"
AAAPW,3.74%,8.01%,8.26%,20.10%,2.09%,9.38%,-,-,-,2.81%,2.25%,16.19K,0.43,41.28,-0.15%,"7,001"
AAAPX,7.83%,17.91%,24.08%,61.70%,31.99%,68.68%,-,-,-,4.69%,4.09%,59.20K,1.73,40.23,0.37%,"102,649"
AAAPY,4.42%,9.36%,10.90%,26.83%,11.94%,19.02%,-,-,-,1.79%,1.59%,7.46K,2.19,27.86,0.15%,"16,329"
AAARD,3.16%,-13.42%,42.31%,9.04%,-57.71%,-35.39%,-,-,-,13.55%,13.56%,255.02K,0.85,5.55,8.19%,"216,857"
AAAT,-1.81%,-5.75%,-11.35%,15.23%,14.32%,4.24%,4.14%,-44.71%,-48.55%,1.73%,1.54%,428.92K,1.27,21.64,0.65%,"544,917"
AAAUA,-1.14%,-1.95%,3.60%,-,17.53%,-,-,-,-,0.14%,0.20%,5.31K,0.03,58.22,-0.62%,139
AAAUB,-0.76%,-2.17%,-,-,2.65%,-,-,-,-,0.04%,0.23%,5.18K,0.02,50.79,-0.57%,124
AAAUC,-8.59%,-5.68%,-14.53%,-30.53%,-5.64%,39.38%,-,-,-,3.09%,3.73%,680.42K,0.53,21.59,-5.47%,"357,676"
AAAUS,-1.16%,-1.95%,3.23%,14.60%,10.83%,15.14%,-,-,-,0.10%,0.10%,8.67K,0.01,61.07,-0.62%,68
AAAVM,-1.74%,-2.08%,-1.08%,10.01%,15.22%,18.77%,47.04%,20.49%,-,0.17%,0.11%,1.36K,0.64,34.01,-0.95%,874
AAAXJ,-4.18%,-1.18%,-2.73%,17.45%,23.00%,26.97%,74.13%,30.21%,96.39%,0.84%,1.03%,505.72K,0.53,114.54,-2.64%,"267,752"
AAB,-3.37%,-1.37%,-0.96%,-5.25%,-6.21%,-4.85%,11.77%,-29.19%,64.05%,1.40%,1.42%,289.44K,0.63,36.09,0.00%,"182,348"
AABAT,-15.11%,-5.98%,-30.18%,-28.92%,-29.34%,1.72%,-71.92%,-87.99%,-57.36%,5.13%,6.00%,3.50M,1.44,2.36,-4.45%,"5,034,949"
AABBV,2.07%,4.37%,14.95%,19.16%,14.57%,19.89%,70.38%,145.84%,313.28%,2.10%,1.99%,6.39M,0.71,261.77,1.81%,"4,512,427"
AABCB,-1.43%,-5.11%,-4.64%,12.82%,14.20%,14.04%,114.19%,81.71%,140.28%,1.51%,1.53%,473.27K,0.89,84.82,0.19%,"422,336"
