Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,2.33%,1.17%,15.07%,34.37%,10.44%,19.61%,29.64%,-13.53%,230.70%,2.39%,2.87%,2.18M,0.77,150.27,2.36%,"1,682,274"
AAA,-10.09%,-6.92%,-27.49%,-30.15%,-12.46%,38.45%,61.25%,-9.98%,-,3.58%,3.89%,5.50M,0.66,46.52,-0.92%,"3,646,556"
AAAA,-0.12%,0.10%,0.22%,-0.20%,-0.08%,-0.32%,0.64%,-0.09%,-,0.37%,0.28%,24.14K,0.08,24.98,0.12%,"1,910"
AAAAA,-1.46%,-2.09%,-1.23%,11.50%,10.90%,14.42%,-,-,-,0.30%,0.29%,6.29K,0.56,30.32,-0.38%,"3,493"
AAAAC,0.07%,0.00%,0.22%,0.45%,0.20%,-,-,-,-,0.00%,0.00%,76.48K,0.00,20.09,0.00%,10
AAAAD,-1.11%,-1.67%,-2.63%,-,-2.35%,-,-,-,-,0.00%,0.00%,0.17K,0.08,48.76,-0.10%,13
AAAAP,0.24%,0.32%,-,-,1.29%,-,-,-,-,0.17%,0.13%,52.26K,0.57,25.44,0.14%,"29,726"
AAAAU,-1.42%,-1.85%,-0.59%,-14.32%,-0.45%,16.57%,122.36%,137.31%,-,1.25%,1.35%,1.41M,0.71,42.36,0.31%,"998,988"
AAAC,0.50%,-,-,-,1.10%,-,-,-,-,0.32%,-,75.51K,0.00,10.11,0.10%,358
AAACG,-9.32%,-10.26%,-14.70%,-13.85%,9.01%,-60.30%,-23.76%,-69.34%,65.11%,9.68%,8.02%,227.50K,0.02,0.86,-1.77%,"4,259"
AAACI,0.10%,0.50%,0.90%,-,1.01%,-,-,-,-,0.06%,0.08%,36.58K,0.72,10.05,0.00%,"26,272"
AAACO,0.10%,0.40%,0.91%,-,0.50%,-,-,-,-,0.00%,0.04%,30.10K,0.00,10.00,0.00%,8
AAACP,0.10%,0.40%,0.90%,-,1.21%,-,-,-,-,0.00%,0.10%,64.91K,0.02,10.07,0.00%,"1,008"
AAADR,-1.91%,-1.73%,-0.96%,-0.16%,-3.26%,-1.76%,65.45%,24.10%,110.46%,0.89%,0.79%,2.87K,0.33,83.45,-0.71%,956
AAADX,-1.37%,-31.81%,-38.22%,-,-41.11%,-,-,-,-,7.53%,6.92%,1.31M,2.20,12.22,4.89%,"2,865,324"
AAAEQ,-1.08%,-2.16%,1.11%,13.35%,9.78%,-,-,-,-,0.10%,0.08%,0.65K,0.05,54.15,-0.42%,34
AAAL,-1.08%,-13.89%,-17.40%,21.73%,-16.70%,1.92%,-4.06%,-34.11%,-64.93%,3.36%,2.66%,98.85M,0.84,12.77,-2.52%,"82,845,516"
AAALG,-2.65%,-27.22%,-37.48%,24.10%,-46.13%,-27.21%,-,-,-,6.17%,4.28%,30.64K,2.28,9.55,-5.40%,"69,886"
AAAME,-1.53%,-11.03%,-28.33%,-52.19%,-54.42%,-61.55%,-35.18%,-66.32%,-62.06%,4.83%,6.80%,62.23K,0.61,1.29,0.00%,"37,911"
