Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,-0.95%,6.58%,24.09%,2.81%,2.30%,21.21%,10.21%,-9.77%,197.25%,2.39%,2.74%,2.41M,0.67,139.20,-0.43%,"1,623,761"
AAA,5.57%,-6.10%,-25.02%,-19.55%,-11.87%,60.82%,37.94%,20.85%,-,3.15%,3.83%,5.51M,0.82,46.83,4.44%,"4,525,331"
AAAA,-0.11%,-0.17%,0.35%,-0.13%,-0.03%,0.17%,1.31%,-0.04%,-,0.42%,0.32%,10.65K,0.33,24.99,0.11%,"3,498"
AAAAA,3.48%,1.33%,5.67%,10.26%,12.88%,21.80%,-,-,-,0.68%,0.49%,6.21K,0.71,30.86,1.79%,"4,432"
AAAAC,-0.10%,0.12%,0.15%,0.05%,0.00%,-,-,-,-,0.00%,0.04%,76.48K,0.00,20.06,0.05%,12
AAAAD,-0.75%,-1.24%,-,-,-0.68%,-,-,-,-,0.01%,0.01%,0.28K,0.28,49.59,0.34%,77
AAAAP,-0.12%,0.40%,-,-,0.70%,-,-,-,-,0.00%,0.01%,79.68K,0.00,25.30,0.04%,12
AAAAU,1.28%,-2.01%,-9.73%,-12.44%,-5.49%,20.64%,109.07%,123.17%,-,1.32%,1.18%,1.51M,0.44,40.22,0.66%,"664,831"
AAAC-U,0.85%,1.35%,-,-,1.15%,-,-,-,-,0.87%,0.37%,679.90K,0.00,10.19,-0.14%,382
AAACB,-0.09%,0.24%,1.44%,1.44%,2.33%,3.94%,-,-,-,0.42%,0.39%,33.88K,0.33,10.54,0.00%,"11,056"
AAACG,-8.86%,-11.59%,-19.99%,-14.17%,11.87%,-39.86%,-33.02%,-69.51%,133.76%,8.51%,6.70%,14.70K,0.22,0.88,-1.77%,"3,281"
AAACI,0.05%,-0.05%,0.76%,-,0.45%,-,-,-,-,0.02%,0.12%,39.42K,0.00,9.99,0.05%,29
AAACO,0.10%,0.00%,0.51%,-,0.00%,-,-,-,-,0.00%,0.06%,21.86K,0.00,9.95,0.00%,6
AAACP,-0.03%,0.37%,-,-,0.68%,-,-,-,-,0.01%,0.10%,172.93K,0.00,10.02,-0.03%,10
AAADR,2.90%,-0.62%,-0.43%,-10.43%,-3.03%,5.97%,62.46%,23.01%,106.12%,0.88%,0.72%,2.33K,2.93,83.64,0.95%,"6,820"
AAADX,8.96%,-10.96%,-,-,-0.96%,-,-,-,-,7.87%,8.50%,1.80M,0.67,20.55,6.92%,"1,204,965"
AAAEQ,4.26%,2.94%,7.42%,11.00%,11.66%,-,-,-,-,0.48%,0.21%,0.57K,2.71,55.08,1.85%,"1,554"
AAAL,7.81%,-6.70%,40.22%,20.96%,8.02%,46.94%,4.55%,-14.86%,-50.68%,3.56%,4.11%,108.98M,0.56,16.56,3.24%,"61,124,403"
AAALG,15.34%,-16.35%,77.70%,20.59%,-6.60%,49.63%,-,-,-,5.20%,6.86%,37.49K,0.85,16.55,6.44%,"31,716"
AAAME,-3.75%,-9.94%,-38.89%,-42.54%,-45.58%,-34.47%,-19.79%,-63.33%,-62.98%,6.71%,3.65%,12.96K,2.64,1.54,-1.91%,"34,265"
AAAMI,11.42%,16.13%,36.08%,64.58%,95.57%,126.29%,346.21%,257.25%,565.12%,5.74%,3.67%,490.22K,1.01,91.92,2.38%,"493,143"
AAAOG,102.82%,-8.96%,-,-,-72.11%,-,-,-,-,30.70%,24.37%,1.22M,4.66,4.32,39.81%,"5,670,376"
AAAOI,49.34%,6.70%,-23.90%,198.08%,277.60%,493.20%,1095.55%,1607.26%,926.76%,15.05%,11.62%,11.78M,1.78,131.63,19.44%,"21,013,706"
AAAON,1.93%,-12.62%,3.97%,6.07%,25.31%,16.45%,46.25%,130.87%,456.60%,6.25%,5.88%,1.20M,0.79,95.55,3.23%,"941,060"
AAAOX,103.15%,-8.68%,-69.27%,-,-24.11%,-,-,-,-,31.30%,24.90%,6.29M,2.64,19.36,39.68%,"16,566,946"
AAAOZ,-70.00%,-,-,-,-53.10%,-,-,-,-,39.51%,-,193.55K,18.04,12.04,-38.19%,"3,490,772"
AAAP,0.22%,4.44%,2.53%,20.78%,49.69%,9.90%,-17.15%,-71.94%,-65.43%,4.78%,5.04%,1.96M,0.63,58.83,5.66%,"1,244,264"
AAAPB,-17.80%,-3.84%,19.70%,21.54%,18.64%,102.40%,52.95%,-,-,5.52%,4.43%,74.36K,1.41,38.04,4.24%,"104,909"
AAAPD,9.44%,0.54%,-12.12%,-14.85%,-14.26%,-36.71%,-47.62%,-,-,2.49%,2.30%,9.15M,0.96,11.24,-1.92%,"8,800,207"
AAAPE,-17.96%,-,-,-,-3.36%,-,-,-,-,4.46%,-,11.98K,2.72,14.39,4.24%,"32,558"
AAAPG,-8.72%,-13.84%,-24.21%,-27.97%,-36.39%,-55.61%,-,-,-,3.09%,2.94%,11.62K,0.48,16.69,-0.68%,"5,538"
