Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
A,-1.58%,15.30%,16.78%,-8.60%,-4.03%,11.54%,7.72%,-9.70%,190.59%,2.58%,3.06%,2.23M,0.69,130.59,0.58%,"1,530,089"
AA,-12.64%,-2.82%,-3.66%,35.82%,20.74%,126.31%,78.37%,76.80%,-,6.67%,5.12%,5.02M,2.48,64.16,-6.70%,"12,440,115"
AAA,-0.16%,-0.04%,-0.42%,-0.50%,-0.30%,-0.20%,1.32%,-0.33%,-,0.38%,0.33%,8.89K,0.32,24.92,-0.02%,"2,865"
AAAA,2.20%,1.33%,12.90%,11.05%,12.28%,-,-,-,-,0.80%,0.62%,4.42K,0.68,30.70,1.41%,"3,011"
AAAC,0.12%,-0.02%,0.22%,0.15%,-0.02%,-,-,-,-,0.00%,0.00%,0.03K,0.12,20.05,0.00%,4
AAAD,0.60%,-,-,-,0.28%,-,-,-,-,0.11%,-,0.40K,0.07,50.07,0.10%,27
AAAU,-0.12%,-7.13%,-13.81%,1.00%,0.14%,25.66%,119.41%,130.32%,-,2.44%,1.56%,2.25M,0.50,42.61,2.60%,"1,119,988"
AACB,0.10%,0.77%,1.64%,1.84%,2.04%,3.75%,-,-,-,0.34%,0.22%,27.39K,0.01,10.51,0.10%,303
AACG,-4.27%,-15.12%,1.00%,3.17%,27.80%,21.02%,-26.81%,-67.63%,84.33%,9.91%,8.01%,13.82K,0.92,1.01,3.05%,"12,677"
AACI,0.10%,0.25%,-,-,0.91%,-,-,-,-,0.06%,0.10%,37.73K,0.01,9.96,0.10%,389
AACO,-0.20%,-0.30%,-,-,-0.40%,-,-,-,-,0.00%,0.11%,8.45K,0.12,9.91,0.20%,"1,008"
AACP,0.20%,-,-,-,0.30%,-,-,-,-,0.24%,-,525.94K,0.20,9.98,-0.10%,"105,545"
AADR,2.11%,-3.48%,0.81%,-2.83%,-2.32%,9.41%,67.11%,24.75%,124.32%,1.05%,1.21%,3.18K,1.03,84.25,0.82%,"3,276"
AADX,2.91%,-,-,-,4.05%,-,-,-,-,12.12%,-,4.78M,0.16,19.78,-3.18%,"762,456"
AAEQ,1.61%,0.33%,12.10%,6.20%,8.57%,-,-,-,-,0.16%,0.21%,2.80K,0.27,53.56,1.58%,768
AAL,13.68%,21.73%,47.38%,3.34%,0.85%,49.08%,-7.15%,-32.16%,-49.29%,5.53%,4.55%,69.08M,2.59,15.46,3.20%,"179,056,576"
AALG,27.25%,43.41%,98.51%,-11.74%,-13.83%,-,-,-,-,9.45%,7.87%,64.08K,0.91,15.27,6.70%,"58,402"
AAME,13.21%,-20.70%,-33.28%,-28.85%,-36.40%,-1.64%,-17.81%,-57.24%,-50.55%,8.36%,5.61%,12.54K,1.48,1.80,5.26%,"18,544"
AAMI,4.60%,13.13%,58.82%,63.69%,71.43%,158.57%,253.53%,254.62%,468.60%,4.29%,3.79%,355.40K,1.95,80.57,2.58%,"691,893"
AAOG,-11.23%,-27.67%,-,-,-18.37%,-,-,-,-,30.20%,28.89%,697.68K,2.81,12.73,26.92%,"1,963,638"
AAOI,-2.59%,-5.90%,103.62%,427.40%,449.48%,1138.20%,4323.79%,2104.26%,1779.78%,13.58%,13.68%,12.77M,1.14,191.55,13.31%,"14,553,889"
AAON,-0.60%,-6.24%,60.94%,56.32%,72.14%,79.83%,109.79%,208.12%,656.69%,7.16%,5.77%,1.07M,0.80,131.26,3.20%,"851,422"
AAOX,-11.54%,-27.54%,-,-,62.93%,-,-,-,-,30.28%,29.78%,4.07M,1.94,56.52,25.38%,"7,885,006"
AAP,4.56%,22.79%,14.76%,26.40%,55.32%,25.93%,-12.69%,-69.58%,-60.27%,4.31%,5.37%,1.80M,0.58,61.04,0.39%,"1,034,752"
AAPB,-3.85%,-2.48%,33.04%,7.00%,12.10%,101.75%,36.83%,-,-,5.22%,4.15%,95.27K,0.68,35.95,3.36%,"64,352"
AAPD,1.53%,0.54%,-15.14%,-7.30%,-8.92%,-35.11%,-43.36%,-,-,2.78%,2.23%,9.14M,0.57,11.94,-1.81%,"5,184,203"
AAPG,1.29%,-14.07%,-29.25%,-42.18%,-33.92%,-44.97%,-,-,-,2.62%,3.86%,5.93K,1.95,17.34,-1.48%,"11,555"
AAPL,-1.70%,-0.60%,17.25%,6.61%,9.03%,50.89%,59.36%,128.65%,1120.59%,2.86%,2.26%,46.53M,0.97,296.42,1.82%,"45,302,147"
AAPR,0.32%,0.15%,2.72%,4.24%,3.75%,9.60%,-,-,-,0.24%,0.23%,19.12K,0.10,29.48,0.22%,"1,933"
AAPU,-3.74%,-2.23%,32.25%,4.95%,11.02%,94.75%,61.32%,-,-,5.81%,4.55%,2.24M,0.56,37.28,3.67%,"1,254,580"
AAPW,-2.77%,-3.81%,11.14%,-8.59%,-4.35%,11.91%,-,-,-,2.99%,2.64%,20.68K,0.82,38.68,1.44%,"17,050"
AAPX,-3.52%,-2.06%,32.22%,3.19%,10.53%,92.51%,-,-,-,4.84%,4.20%,101.74K,0.16,33.69,3.91%,"16,610"
AAPY,-1.89%,-2.42%,15.21%,-0.13%,2.73%,22.80%,-,-,-,2.08%,1.63%,3.66K,5.06,25.57,1.77%,"18,542"
AARD,6.96%,-42.94%,-28.36%,-75.40%,-70.74%,-64.25%,-,-,-,7.75%,10.75%,193.82K,1.02,3.84,-1.54%,"198,192"
AAT,1.04%,16.45%,26.92%,26.26%,28.26%,20.26%,22.75%,-36.94%,-40.61%,1.79%,2.22%,382.47K,0.94,24.28,-0.53%,"360,786"
AAUA,2.05%,1.00%,-,-,14.39%,-,-,-,-,0.69%,0.36%,3.02K,0.00,57.19,1.77%,6
AAUC,2.81%,-10.06%,-15.48%,16.67%,15.30%,71.86%,-,-,-,3.37%,3.86%,738.40K,0.20,26.38,4.43%,"148,524"
AAUM,4.91%,-2.20%,11.53%,-14.92%,-13.86%,-,-,-,-,0.61%,0.30%,0.42K,8.58,21.09,1.63%,"3,579"
AAUS,1.65%,0.56%,11.72%,8.04%,9.12%,-,-,-,-,0.30%,0.18%,1.72K,0.11,60.13,1.64%,195
AAVM,2.59%,0.44%,9.81%,14.53%,16.91%,30.93%,51.22%,25.01%,-,0.97%,0.45%,2.94K,0.20,34.51,0.37%,584
AAXJ,6.03%,3.65%,20.92%,30.27%,30.28%,50.26%,75.50%,29.71%,128.65%,2.80%,2.01%,914.29K,0.69,121.32,3.02%,"626,365"
AB,-1.69%,-5.48%,-5.33%,-11.39%,-6.37%,-8.58%,4.89%,-20.55%,60.13%,1.64%,1.74%,306.65K,1.25,36.03,-1.13%,"382,488"
ABAT,-10.79%,-0.88%,3.99%,-20.61%,1.50%,156.82%,-72.10%,-89.44%,-86.05%,13.49%,11.03%,5.98M,1.05,3.39,0.30%,"6,294,023"
ABBV,-0.66%,5.13%,0.06%,-1.07%,-3.02%,15.97%,63.07%,91.31%,266.87%,2.03%,2.34%,6.41M,0.81,221.59,-2.70%,"5,179,857"
ABCB,2.92%,5.00%,16.78%,12.25%,18.28%,44.68%,147.81%,60.16%,191.67%,2.09%,1.91%,492.82K,1.26,87.85,-1.24%,"622,527"
ABCL,-2.95%,19.55%,47.75%,40.64%,53.80%,64.38%,-29.68%,-77.65%,-,7.76%,10.06%,6.19M,0.60,5.26,0.38%,"3,682,654"
ABCS,1.86%,4.41%,11.76%,6.76%,9.05%,18.68%,-,-,-,0.89%,0.57%,2.18K,1.29,33.18,-0.22%,"2,812"
ABEO,5.39%,1.25%,14.55%,2.72%,7.59%,-7.95%,26.28%,-86.50%,-92.18%,4.33%,4.41%,1.16M,0.53,5.67,2.53%,"620,464"
ABEQ,1.62%,0.45%,-1.93%,3.78%,4.88%,8.95%,32.50%,33.68%,-,0.59%,0.52%,12.97K,1.15,37.60,0.67%,"14,903"
ABEV,5.86%,3.17%,12.07%,30.00%,31.58%,33.20%,11.65%,-5.72%,-25.99%,2.02%,2.28%,27.75M,0.88,3.25,0.00%,"24,415,846"
ABFL,3.09%,1.49%,16.25%,14.55%,17.36%,21.11%,61.24%,75.13%,-,1.90%,1.31%,67.79K,0.15,83.76,1.48%,"10,218"
ABG,3.15%,3.35%,4.48%,-19.72%,-14.18%,-14.17%,-12.77%,15.00%,265.01%,2.96%,3.37%,263.68K,0.98,199.55,0.01%,"257,705"
ABI,-0.26%,0.20%,-0.12%,0.38%,0.12%,-,-,-,-,0.00%,0.03%,0.34K,0.17,24.84,0.08%,57
ABIG,2.05%,0.70%,13.63%,5.32%,6.88%,18.81%,-,-,-,0.73%,0.49%,4.88K,0.02,34.21,1.64%,104
ABLD,0.81%,-4.21%,-2.30%,4.30%,5.70%,8.08%,15.53%,-,-,0.73%,0.65%,29.45K,0.31,30.75,0.24%,"9,174"
ABLG,5.23%,1.39%,8.38%,2.82%,4.11%,7.77%,20.22%,-7.68%,-,1.55%,0.83%,1.47K,0.31,33.01,2.49%,463
ABLS,5.40%,5.60%,19.83%,-7.38%,9.09%,-7.87%,-,-,-,1.04%,0.59%,0.60K,1.95,21.85,1.50%,"1,167"
ABLV,9.90%,9.90%,70.74%,34.37%,64.32%,-0.45%,-89.53%,-,-,9.25%,7.71%,431.55K,0.19,1.11,0.91%,"81,046"
ABM,3.70%,11.03%,14.94%,-6.54%,4.02%,-2.07%,2.73%,-8.33%,20.58%,3.39%,2.78%,576.82K,1.06,44.00,-4.20%,"612,253"
ABNB,3.37%,3.96%,8.29%,8.56%,2.39%,2.52%,8.69%,-8.45%,-,3.55%,3.36%,3.64M,1.28,138.96,5.05%,"4,650,315"
ABNG,6.06%,6.10%,10.41%,4.88%,-6.07%,-,-,-,-,2.65%,2.89%,1.81K,2.00,17.07,9.92%,"3,622"
ABNY,-1.85%,-2.50%,-5.62%,-13.92%,-16.97%,-34.49%,-,-,-,1.60%,1.70%,5.03K,0.52,39.35,-0.19%,"2,603"
ABOS,7.83%,-2.09%,-29.94%,19.39%,10.90%,118.69%,-58.29%,-,-,5.93%,6.25%,536.84K,0.52,2.34,-1.27%,"280,530"
ABOT,-1.26%,2.30%,12.02%,-4.87%,-1.73%,3.06%,51.08%,43.44%,-,0.13%,0.12%,0.30K,0.06,38.42,1.49%,18
ABR,-2.46%,-11.64%,-32.99%,-42.79%,-33.51%,-50.19%,-61.47%,-68.52%,-13.59%,3.94%,4.73%,3.91M,0.84,5.16,-0.96%,"3,284,768"
