Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,-0.70%,13.96%,32.41%,19.84%,9.09%,25.64%,24.48%,-8.94%,217.72%,1.49%,2.47%,2.27M,0.79,148.44,-0.01%,"1,798,437"
AAA,-7.51%,15.04%,-20.08%,-12.96%,-5.87%,68.82%,72.66%,20.56%,-,4.44%,3.44%,5.72M,0.58,50.02,-3.27%,"3,287,198"
AAAA,-0.06%,0.10%,0.06%,-0.28%,-0.20%,-0.18%,0.42%,-0.26%,-,0.09%,0.26%,22.23K,0.12,24.95,0.00%,"2,587"
AAAAA,-0.32%,2.57%,2.73%,10.30%,12.28%,18.72%,-,-,-,0.19%,0.41%,6.06K,0.26,30.70,-0.82%,"1,597"
AAAAC,0.10%,0.15%,0.15%,0.05%,0.20%,-,-,-,-,0.01%,0.01%,76.48K,0.00,20.09,0.02%,236
AAAAD,0.02%,-1.04%,-,-,-0.93%,-,-,-,-,0.00%,0.01%,0.24K,0.05,49.47,-0.06%,11
AAAAP,0.16%,0.40%,-,-,1.05%,-,-,-,-,0.09%,0.05%,74.42K,0.23,25.39,0.08%,"17,294"
AAAAU,-0.58%,8.45%,-4.65%,-10.95%,0.71%,30.20%,128.90%,141.20%,-,1.01%,1.12%,1.53M,0.75,42.85,-1.66%,"1,146,150"
AAAC-U,0.00%,1.60%,-,-,1.19%,-,-,-,-,0.34%,0.39%,565.32K,0.00,10.19,0.00%,185
AAACB,0.19%,0.76%,1.34%,2.12%,2.72%,4.44%,-,-,-,0.18%,0.35%,45.05K,2.47,10.58,-0.05%,"111,434"
AAACG,12.67%,4.83%,-14.88%,11.91%,26.02%,-50.21%,-20.33%,-60.48%,124.25%,17.93%,9.76%,227.71K,0.13,1.00,-1.40%,"28,669"
AAACI,0.10%,0.40%,0.91%,-,0.60%,-,-,-,-,0.22%,0.16%,44.90K,0.00,10.01,-0.40%,9
AAACO,0.30%,-0.10%,0.30%,-,0.20%,-,-,-,-,0.02%,0.07%,27.49K,0.00,9.97,0.00%,6
AAACP,0.10%,0.50%,-,-,0.80%,-,-,-,-,0.04%,0.08%,187.01K,0.01,10.03,-0.05%,"1,134"
AAADR,0.06%,3.28%,-0.86%,-10.43%,-2.51%,2.16%,67.13%,25.25%,104.51%,1.35%,0.96%,2.80K,0.52,84.09,-1.01%,"1,461"
AAADX,-13.60%,5.58%,-,-,-14.27%,-,-,-,-,7.66%,7.91%,1.66M,0.81,17.79,-1.82%,"1,344,868"
AAAEQ,-0.37%,3.47%,3.73%,12.74%,10.96%,-,-,-,-,0.20%,0.21%,0.73K,0.02,54.74,-0.66%,14
AAAL,-8.11%,-7.20%,13.67%,-2.43%,-8.35%,6.68%,-6.58%,-26.59%,-61.69%,2.71%,3.75%,108.22M,0.47,14.05,-2.63%,"51,035,661"
AAALG,-16.15%,-16.96%,17.04%,-21.77%,-33.62%,-20.50%,-,-,-,4.10%,6.05%,34.51K,0.99,11.76,-5.12%,"34,060"
AAAME,-2.10%,-10.83%,-36.36%,-48.53%,-50.53%,-55.70%,-22.22%,-61.64%,-62.67%,5.73%,4.83%,14.58K,3.71,1.40,-1.41%,"54,097"
AAAMI,0.31%,11.78%,32.43%,76.80%,95.38%,92.07%,341.28%,251.17%,574.72%,2.25%,3.57%,490.18K,0.55,91.83,-1.25%,"269,596"
AAAOG,-9.09%,29.03%,-68.13%,-,-74.18%,-,-,-,-,26.93%,26.18%,1.72M,2.32,4.00,-30.07%,"3,983,950"
AAAOI,-2.17%,27.56%,-24.15%,199.27%,276.97%,402.91%,926.64%,1864.28%,885.08%,12.88%,12.65%,12.12M,1.21,131.41,-15.16%,"14,651,488"
AAAON,-4.34%,-21.01%,-38.73%,-20.16%,7.62%,0.29%,32.89%,83.61%,346.63%,5.23%,5.83%,1.09M,1.41,82.06,-6.85%,"1,527,348"
AAAOX,-9.36%,29.29%,-68.06%,-,-29.75%,-,-,-,-,27.18%,26.61%,7.52M,1.40,17.92,-30.22%,"10,524,530"
AAAOZ,-11.39%,-71.30%,-,-,-61.51%,-,-,-,-,29.15%,29.61%,2.04M,3.14,9.88,30.34%,"6,391,870"
AAAP,7.57%,9.45%,12.57%,0.39%,44.94%,0.64%,-18.43%,-72.57%,-63.82%,4.39%,4.53%,1.90M,0.98,56.96,0.42%,"1,871,398"
AAAPB,3.58%,-10.90%,4.06%,28.69%,19.20%,58.88%,65.88%,-,-,2.57%,3.79%,67.26K,1.80,38.22,3.33%,"121,257"
AAAPD,-1.58%,4.72%,-5.72%,-16.78%,-14.49%,-28.05%,-49.96%,-,-,1.42%,1.98%,9.15M,0.84,11.21,-1.41%,"7,677,748"
AAAPE,3.23%,-11.31%,-,-,-3.31%,-,-,-,-,2.37%,2.65%,14.44K,0.62,14.40,3.06%,"8,922"
AAAPG,-4.11%,-0.93%,-1.94%,-27.20%,-30.64%,-61.67%,-,-,-,2.36%,2.33%,11.35K,0.61,18.20,-0.00%,"6,876"
AAAPL,1.68%,-5.07%,4.09%,17.49%,14.04%,34.28%,77.68%,111.83%,1036.89%,1.50%,2.05%,55.90M,0.96,310.03,1.45%,"53,424,535"
AAAPR,0.10%,0.88%,1.19%,4.13%,4.72%,7.73%,-,-,-,0.09%,0.17%,7.93K,0.01,29.75,-0.02%,57
AAAPU,3.24%,-11.26%,3.05%,26.35%,16.65%,52.47%,90.02%,-,-,2.97%,4.11%,1.91M,0.99,39.17,2.86%,"1,889,743"
AAAPW,1.49%,-8.22%,-3.10%,3.96%,-4.00%,1.97%,-,-,-,1.28%,2.24%,17.74K,0.42,38.82,1.81%,"7,496"
AAAPX,3.19%,-11.14%,3.06%,25.68%,15.91%,50.15%,-,-,-,2.39%,3.62%,47.08K,0.97,35.33,3.15%,"45,554"
AAAPY,2.24%,-6.41%,-0.36%,10.82%,4.51%,11.96%,-,-,-,1.53%,1.58%,6.39K,0.81,26.01,1.84%,"5,205"
AAARD,-14.53%,11.12%,40.94%,-50.64%,-53.18%,-41.14%,-,-,-,13.29%,11.98%,256.96K,0.31,6.14,-8.83%,"79,109"
AAAT,1.25%,-10.53%,7.31%,20.60%,19.39%,16.62%,8.13%,-39.94%,-49.36%,1.50%,2.14%,437.08K,0.47,22.60,-0.22%,"204,820"
AAAUA,-0.39%,3.44%,4.90%,-,18.33%,-,-,-,-,0.13%,0.07%,3.02K,0.52,58.62,-0.58%,"1,583"
AAAUB,-0.24%,-,-,-,3.28%,-,-,-,-,0.34%,-,8.91K,0.18,51.10,-1.26%,"1,595"
AAAUC,-5.41%,2.84%,-24.50%,-33.00%,-8.26%,59.50%,-,-,-,3.60%,4.78%,738.35K,1.24,20.99,-6.17%,"916,631"
AAAUS,-0.40%,3.45%,3.77%,12.40%,11.55%,18.92%,-,-,-,0.21%,0.44%,8.77K,0.03,61.47,-0.67%,246
AAAVM,-0.06%,4.43%,2.26%,3.84%,16.80%,23.89%,53.68%,26.37%,-,0.08%,0.45%,1.98K,0.56,34.48,-1.31%,"1,112"
AAAXJ,-0.06%,2.99%,0.77%,9.80%,21.94%,31.26%,77.23%,33.55%,90.65%,1.10%,1.53%,617.88K,0.55,113.55,-3.09%,"342,458"
AAB,-2.27%,-4.69%,-5.81%,-12.67%,-5.98%,-10.47%,17.81%,-27.47%,64.53%,1.72%,1.59%,301.67K,0.80,36.18,-0.03%,"240,588"
AABAT,-11.65%,2.62%,-20.88%,-35.79%,-29.64%,-10.48%,-72.90%,-89.34%,-75.52%,5.73%,6.44%,5.61M,0.63,2.35,-3.29%,"3,541,274"
AABBV,3.53%,2.19%,23.64%,11.19%,13.32%,25.34%,72.45%,120.75%,287.78%,1.88%,2.21%,6.67M,0.75,258.92,3.43%,"5,010,235"
AABCB,-0.03%,-2.87%,5.50%,5.19%,18.76%,25.71%,114.44%,81.48%,161.33%,1.42%,1.82%,494.72K,0.66,88.20,-0.94%,"328,619"
AABCL,13.93%,91.72%,167.31%,250.79%,225.15%,138.12%,102.55%,-33.61%,-,10.17%,9.17%,8.13M,1.01,11.12,-0.71%,"8,201,820"
AABCS,0.04%,4.69%,13.63%,14.80%,18.39%,21.29%,-,-,-,0.62%,0.46%,2.01K,0.87,36.02,-0.12%,"1,742"
AABEO,-16.76%,-4.94%,14.71%,22.22%,16.89%,-10.85%,62.53%,-79.97%,-94.36%,6.96%,5.11%,1.37M,0.97,6.16,3.70%,"1,325,872"
AABEQ,-0.43%,3.46%,3.63%,-0.73%,8.02%,11.73%,39.60%,40.08%,-,0.27%,0.49%,12.08K,0.79,38.72,0.04%,"9,495"
AABEV,-2.11%,-9.74%,-11.46%,-9.74%,12.55%,26.94%,4.52%,2.00%,-45.44%,1.94%,2.19%,27.61M,0.46,2.78,0.00%,"12,823,183"
AABFL,-0.48%,1.48%,3.59%,14.21%,16.88%,20.94%,62.08%,67.21%,-,0.46%,0.82%,14.00K,0.72,83.42,-1.43%,"10,131"
AABG,-1.83%,-2.94%,15.69%,-10.32%,-12.30%,-15.18%,-7.87%,7.40%,275.17%,2.37%,3.36%,251.74K,1.93,203.94,-2.21%,"485,613"
AABI,0.16%,0.00%,-0.04%,-0.88%,-0.04%,-1.47%,-,-,-,0.00%,0.00%,0.13K,0.87,24.80,0.02%,112
AABIG,-1.49%,3.64%,5.43%,15.00%,10.51%,14.39%,-,-,-,0.23%,0.27%,2.60K,0.39,35.37,-0.78%,"1,021"
AABLD,-0.06%,7.56%,3.54%,-1.49%,11.38%,13.81%,17.64%,-,-,0.54%,0.75%,12.27K,1.73,32.40,-0.58%,"21,234"
AABLG,-0.06%,3.47%,-0.54%,-2.91%,-0.40%,5.88%,20.04%,-11.97%,-,2.96%,1.07%,2.11K,4.72,31.58,-2.26%,"9,972"
AABLS,0.46%,1.25%,12.66%,19.85%,15.50%,2.52%,-,-,-,0.56%,0.56%,1.86K,0.32,23.14,-0.67%,595
AABLV,7.02%,-16.50%,-18.13%,5.70%,23.62%,-8.44%,-84.82%,-,-,11.89%,8.06%,78.04K,0.48,0.84,14.37%,"37,402"
