Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
A,-6.37%,14.75%,16.05%,-7.89%,-4.79%,8.21%,11.88%,-9.74%,185.60%,3.04%,3.12%,2.22M,0.90,129.55,-1.57%,"1,987,748"
AA,-11.59%,2.01%,4.63%,58.68%,29.81%,140.01%,95.80%,84.54%,-,6.49%,4.93%,5.13M,0.89,68.98,5.23%,"4,566,472"
AAA,-0.39%,-0.04%,-0.34%,-0.43%,-0.36%,-0.26%,1.55%,-0.39%,-,0.43%,0.31%,8.84K,0.13,24.91,-0.30%,"1,172"
AAAA,-1.73%,0.77%,11.50%,9.98%,10.38%,-,-,-,-,1.31%,0.66%,4.41K,0.19,30.18,1.98%,820
AAAC,0.10%,-0.05%,0.35%,-,-0.10%,-,-,-,-,0.00%,0.00%,0.42K,0.01,20.03,0.00%,4
AAAD,0.21%,-,-,-,0.33%,-,-,-,-,0.10%,-,0.41K,1.50,50.10,0.46%,608
AAAU,-6.11%,-10.80%,-17.29%,-0.24%,-2.51%,25.47%,113.48%,122.06%,-,2.52%,1.53%,2.20M,1.93,41.48,3.08%,"4,237,763"
AACB,0.10%,0.67%,1.65%,1.55%,1.94%,3.86%,-,-,-,0.34%,0.20%,28.17K,0.01,10.50,0.00%,288
AACG,-12.84%,-22.21%,-2.56%,-0.11%,20.21%,12.43%,-26.35%,-70.22%,72.50%,6.74%,7.55%,13.55K,0.82,0.95,-9.52%,"11,151"
AACI,0.10%,0.20%,-,-,0.91%,-,-,-,-,0.02%,0.12%,30.04K,12.27,9.96,-0.10%,"368,610"
AACO,0.91%,0.40%,-,-,0.30%,-,-,-,-,0.04%,0.12%,9.18K,0.00,9.98,0.91%,1
AACP,0.00%,-,-,-,0.10%,-,-,-,-,0.20%,-,591.75K,0.58,9.96,0.00%,"340,335"
AADR,-2.85%,-3.78%,-1.11%,-2.79%,-3.96%,6.35%,68.88%,21.44%,115.16%,1.09%,1.31%,3.19K,0.63,82.83,2.80%,"2,007"
AADX,18.76%,-,-,-,16.20%,-,-,-,-,11.90%,-,5.74M,0.42,22.09,19.99%,"2,400,749"
AAEQ,-2.72%,-0.29%,10.26%,-,6.47%,-,-,-,-,0.50%,0.19%,2.90K,0.03,52.52,1.43%,100
AAL,10.15%,15.45%,38.86%,-2.53%,-4.44%,32.46%,-5.91%,-37.74%,-55.79%,5.05%,4.38%,67.43M,2.28,14.65,9.17%,"153,916,264"
AALG,20.13%,28.13%,74.63%,-21.68%,-22.86%,-,-,-,-,8.44%,7.48%,63.73K,1.24,13.67,17.60%,"79,169"
AAME,-4.30%,-27.71%,-36.20%,-29.37%,-37.10%,-1.66%,-17.59%,-58.41%,-49.58%,7.54%,5.30%,11.86K,3.52,1.78,0.00%,"41,717"
AAMI,2.48%,10.17%,54.50%,67.31%,65.32%,146.28%,241.09%,241.84%,441.46%,3.85%,3.58%,353.93K,0.94,77.70,2.13%,"333,767"
AAOG,-33.20%,-32.32%,-,-,-32.32%,-,-,-,-,37.22%,29.94%,625.06K,2.46,10.56,-2.63%,"1,536,229"
AAOI,-14.84%,-8.23%,62.71%,468.73%,395.64%,958.70%,5282.55%,1865.64%,1584.02%,16.40%,14.23%,12.75M,1.12,172.78,-1.34%,"14,270,164"
AAON,-10.45%,-3.76%,47.76%,57.55%,68.71%,69.60%,102.01%,198.75%,610.98%,7.99%,6.07%,1.06M,0.89,128.64,6.21%,"941,745"
AAOX,-33.51%,-32.12%,-,-,35.43%,-,-,-,-,37.44%,30.98%,3.90M,2.36,46.98,-2.81%,"9,202,201"
AAP,8.46%,15.20%,15.12%,30.90%,54.25%,17.66%,-4.66%,-69.60%,-60.38%,4.72%,5.46%,1.81M,0.78,60.62,2.12%,"1,413,472"
AAPB,-10.41%,-0.70%,29.67%,7.15%,11.80%,96.03%,43.03%,-,-,6.40%,4.07%,94.66K,0.56,35.85,2.26%,"53,149"
AAPD,5.27%,-0.21%,-13.85%,-7.20%,-8.62%,-34.07%,-44.72%,-,-,3.47%,2.20%,9.19M,0.67,11.98,-1.40%,"6,121,197"
AAPG,-6.40%,-19.14%,-28.71%,-43.08%,-34.79%,-42.49%,-,-,-,2.46%,4.00%,5.70K,0.29,17.11,-1.21%,"1,640"
AAPL,-5.01%,0.28%,15.59%,6.66%,8.74%,48.72%,63.37%,132.14%,1096.52%,3.53%,2.24%,46.31M,0.91,295.63,1.39%,"42,361,156"
AAPR,-0.37%,-0.03%,2.74%,4.09%,3.50%,9.07%,-,-,-,0.23%,0.25%,18.83K,1.13,29.41,0.51%,"21,227"
AAPU,-10.20%,-0.67%,28.35%,4.99%,10.42%,88.78%,67.06%,-,-,7.18%,4.51%,2.22M,0.88,37.08,2.71%,"1,957,631"
AAPW,-6.71%,-2.26%,9.46%,-8.01%,-4.09%,10.32%,-,-,-,3.83%,2.64%,20.55K,0.46,38.78,1.27%,"9,389"
AAPX,-10.55%,-1.07%,27.58%,2.61%,9.41%,85.99%,-,-,-,6.59%,4.25%,103.01K,0.23,33.35,2.45%,"23,364"
AAPY,-5.66%,-1.06%,13.45%,0.11%,2.70%,21.31%,-,-,-,3.16%,1.66%,3.51K,1.64,25.56,1.17%,"5,749"
AARD,-7.61%,-40.43%,-30.80%,-73.41%,-72.27%,-67.76%,-,-,-,8.31%,11.04%,207.64K,0.44,3.64,4.60%,"91,248"
AAT,2.56%,15.86%,29.68%,28.65%,29.27%,20.42%,23.34%,-36.87%,-40.59%,2.00%,2.23%,381.58K,0.99,24.47,-0.12%,"378,131"
AAUA,-2.79%,0.22%,-,-,12.03%,-,-,-,-,0.63%,0.40%,3.10K,0.39,56.02,2.37%,"1,222"
AAUC,-4.63%,-15.80%,-19.96%,14.32%,9.92%,76.37%,-,-,-,3.27%,3.68%,702.27K,0.29,25.15,0.36%,"200,841"
AAUM,-0.73%,-4.32%,10.20%,-16.85%,-16.31%,-,-,-,-,0.00%,0.15%,0.42K,0.09,20.49,1.26%,38
AAUS,-2.76%,-0.24%,9.82%,6.68%,6.96%,-,-,-,-,0.47%,0.16%,1.72K,0.06,58.94,1.47%,96
AAVM,-1.58%,-0.54%,8.64%,15.59%,15.38%,28.98%,51.95%,22.83%,-,0.93%,0.44%,2.92K,0.08,34.06,3.02%,244
AAXJ,-2.79%,3.06%,20.13%,26.31%,25.88%,43.16%,74.36%,24.49%,119.23%,3.44%,2.04%,929.73K,0.79,117.22,4.45%,"733,834"
AB,-2.12%,-5.72%,-4.11%,-10.32%,-5.41%,-9.95%,5.97%,-20.70%,58.40%,1.49%,1.75%,316.87K,0.94,36.40,-1.67%,"297,436"
ABAT,-7.82%,5.23%,0.00%,-19.53%,2.40%,149.64%,-71.14%,-90.26%,-83.60%,18.99%,11.34%,5.91M,1.38,3.42,11.22%,"8,154,563"
ABBV,-0.08%,8.14%,-0.27%,0.80%,-1.63%,17.37%,62.66%,94.74%,268.48%,2.14%,2.36%,6.48M,0.69,224.77,-0.08%,"4,490,899"
ABCB,2.14%,3.47%,15.46%,14.35%,17.07%,38.90%,143.97%,60.22%,175.51%,1.67%,1.83%,500.71K,0.82,86.95,0.45%,"410,584"
ABCL,-17.27%,6.46%,51.87%,43.21%,54.09%,63.16%,-25.67%,-79.65%,-,10.42%,10.36%,6.18M,0.65,5.27,3.54%,"4,033,519"
ABCS,0.10%,3.29%,11.27%,9.23%,8.17%,16.03%,-,-,-,0.78%,0.53%,2.22K,0.74,32.91,1.22%,"1,653"
ABEO,-4.98%,-2.64%,11.60%,5.53%,4.93%,-11.09%,30.12%,-87.85%,-92.89%,5.20%,4.70%,1.17M,0.96,5.53,3.17%,"1,122,419"
ABEQ,-0.59%,-1.09%,-3.42%,3.78%,3.38%,8.09%,31.37%,31.36%,-,0.56%,0.49%,14.38K,0.29,37.06,0.22%,"4,186"
ABEV,3.54%,-1.23%,12.20%,30.36%,30.36%,29.84%,11.69%,-4.60%,-28.17%,1.97%,2.45%,27.77M,1.15,3.22,3.54%,"31,909,168"
ABFL,-2.85%,0.68%,13.71%,13.54%,14.33%,16.55%,61.13%,70.31%,-,2.32%,1.32%,67.94K,0.26,81.60,3.00%,"17,326"
ABG,4.91%,2.99%,1.42%,-16.11%,-14.21%,-17.93%,-11.84%,12.61%,266.56%,3.20%,3.39%,266.35K,0.66,199.48,0.68%,"174,472"
ABI,-0.36%,0.10%,-0.08%,-0.60%,0.04%,-,-,-,-,0.00%,0.03%,0.34K,0.03,24.82,0.08%,11
ABIG,-2.06%,0.61%,12.17%,4.35%,4.99%,15.25%,-,-,-,0.77%,0.52%,4.62K,4.03,33.61,1.81%,"18,619"
ABLD,-2.43%,-5.22%,-3.87%,4.73%,4.66%,6.23%,16.41%,-,-,0.89%,0.67%,29.35K,0.20,30.45,1.27%,"5,814"
ABLG,-5.50%,-4.74%,1.38%,-2.47%,-2.74%,-0.72%,16.42%,-13.41%,-,2.47%,0.83%,1.48K,0.71,30.84,-0.03%,"1,048"
ABLS,1.32%,4.23%,17.96%,-7.67%,6.60%,-9.96%,-,-,-,1.32%,0.56%,0.57K,0.26,21.36,2.34%,149
ABLV,1.38%,6.80%,59.42%,20.14%,62.84%,-10.57%,-89.52%,-,-,9.17%,7.56%,429.06K,0.21,1.10,0.00%,"91,754"
ABM,15.75%,17.61%,19.37%,3.36%,9.13%,-0.50%,-0.47%,-4.77%,23.75%,3.40%,2.68%,570.35K,1.51,46.16,2.87%,"861,905"
ABNB,-2.13%,-3.40%,2.48%,4.37%,-3.57%,-5.21%,11.04%,-11.84%,-,3.04%,3.19%,3.64M,0.97,130.87,1.37%,"3,524,887"
ABNG,-4.73%,-8.07%,-0.25%,-2.46%,-16.18%,-,-,-,-,2.41%,2.75%,1.78K,1.32,15.24,2.25%,"2,352"
ABNY,-1.97%,-5.78%,-6.01%,-14.34%,-17.72%,-36.18%,-,-,-,1.78%,1.66%,4.91K,0.45,39.00,0.47%,"2,203"
ABOS,3.49%,-4.44%,-28.18%,21.54%,12.32%,107.89%,-51.13%,-,-,6.83%,6.21%,535.10K,0.48,2.37,5.80%,"255,073"
ABOT,-5.23%,2.68%,11.59%,-5.26%,-2.67%,0.94%,55.51%,41.34%,-,0.13%,0.12%,0.30K,0.74,38.05,0.25%,219
ABR,-7.19%,-11.79%,-34.18%,-42.15%,-33.51%,-50.86%,-61.20%,-69.55%,-15.57%,4.85%,4.86%,3.90M,0.87,5.16,-0.77%,"3,401,129"
ABSI,-11.31%,21.57%,183.04%,84.94%,86.53%,116.28%,287.50%,-,-,10.86%,10.68%,4.83M,0.78,6.51,2.04%,"3,770,187"
ABT,-1.24%,6.28%,-17.10%,-26.06%,-28.45%,-33.73%,-11.84%,-18.43%,133.46%,2.01%,2.12%,12.84M,1.17,89.65,0.54%,"15,065,396"
ABTC,-8.77%,-26.89%,-20.62%,-59.34%,-50.97%,-84.56%,-98.81%,-99.99%,-,7.53%,7.08%,13.97M,0.72,0.83,1.62%,"10,090,829"
ABTS,-39.45%,36.08%,-54.01%,-79.66%,-74.37%,-70.49%,-89.65%,-99.41%,-99.76%,33.28%,26.40%,2.45M,0.08,1.32,2.33%,"201,024"
ABUF,-0.82%,0.47%,-,-,6.53%,-,-,-,-,0.36%,0.18%,2.57K,1.77,26.76,0.66%,"4,562"
ABUS,-1.38%,-0.46%,-0.69%,-3.81%,-10.81%,22.57%,72.98%,30.79%,19.17%,4.06%,4.39%,1.81M,1.05,4.29,4.13%,"1,894,932"
ABVC,-9.03%,24.76%,-4.38%,-41.26%,-38.50%,-21.56%,-78.17%,-97.48%,-99.64%,7.48%,9.95%,109.68K,0.31,1.31,1.55%,"33,542"
ABVE,-,-78.80%,-90.88%,-95.58%,-93.01%,-90.09%,-98.89%,-98.82%,-,107.09%,39.48%,4.25M,0.00,0.11,0.00%,0
ABVX,-3.87%,-16.90%,-13.77%,-18.02%,-25.20%,1259.43%,-,-,-,7.50%,7.01%,1.58M,0.74,100.87,2.90%,"1,164,315"
ABX,5.98%,0.64%,-4.57%,23.04%,9.94%,53.34%,-9.35%,-4.16%,-,3.80%,4.43%,617.06K,0.62,9.40,3.18%,"381,329"
ABXB,0.19%,0.40%,0.18%,-0.97%,-0.20%,-0.11%,-4.34%,-21.08%,-,0.00%,0.09%,1.07K,0.01,19.56,0.76%,7
ACA,2.35%,-0.47%,18.50%,17.26%,19.40%,42.16%,73.48%,107.81%,-,3.50%,3.35%,292.35K,0.94,126.95,3.34%,"273,623"
ACAA,0.30%,0.20%,-,-,-0.90%,-,-,-,-,0.16%,0.10%,10.60K,0.59,9.96,0.00%,"6,280"
ACAD,-1.52%,-1.52%,0.56%,-20.45%,-19.92%,-4.08%,-13.47%,-21.99%,-45.98%,3.07%,3.06%,1.72M,0.55,21.39,0.66%,"943,998"
ACB,-12.25%,-8.33%,-12.25%,-32.90%,-27.01%,-49.01%,-41.89%,-96.86%,-93.24%,7.32%,4.70%,925.45K,3.86,3.08,-6.38%,"3,573,608"
ACCL,38.17%,28.31%,17.53%,-53.59%,-33.21%,-,-,-,-,26.44%,11.94%,427.66K,1.41,1.81,16.77%,"604,974"
ACCO,2.33%,1.02%,16.47%,9.70%,6.17%,5.04%,-21.74%,-57.05%,-62.00%,2.57%,2.93%,1.15M,0.93,3.96,-1.00%,"1,066,773"
ACCS,1.91%,-20.96%,-9.46%,-30.70%,-31.08%,-46.36%,-65.76%,-75.57%,0.00%,4.90%,6.51%,12.51K,1.06,6.41,3.39%,"13,238"
ACDC,-12.28%,3.36%,1.58%,57.46%,81.75%,-25.81%,-44.07%,-,-,9.75%,8.29%,1.49M,0.98,7.07,-4.33%,"1,457,669"
ACEI,-3.81%,-2.51%,-1.57%,-4.75%,-3.64%,-,-,-,-,1.50%,0.93%,19.74K,1.01,23.74,-0.25%,"20,014"
ACEL,11.10%,16.91%,18.46%,26.75%,17.53%,15.40%,36.84%,5.18%,-,2.58%,2.24%,320.38K,1.06,13.41,1.90%,"339,346"
ACEP,-2.13%,1.76%,15.35%,22.55%,21.57%,-,-,-,-,1.16%,0.42%,1.91K,0.54,19.81,2.57%,"1,042"
ACES,-12.26%,-2.04%,10.25%,10.58%,12.80%,41.91%,-17.95%,-49.45%,-,5.42%,3.73%,97.91K,0.26,36.57,3.63%,"25,013"
ACET,-7.36%,-5.03%,7.24%,-12.00%,-10.33%,-39.87%,-91.18%,-95.98%,-,6.31%,7.21%,119.92K,0.35,7.55,3.28%,"42,073"
ACFN,-3.05%,-3.46%,-16.11%,-3.34%,7.22%,-9.10%,216.80%,68.65%,452.94%,5.66%,4.90%,14.60K,0.37,16.19,2.79%,"5,425"
ACGC,0.00%,-,-,-,0.00%,-,-,-,-,0.15%,-,297.55K,2.01,9.93,0.00%,"598,499"
ACGL,3.16%,-3.37%,-3.28%,-0.86%,-4.99%,1.95%,34.15%,143.92%,302.11%,1.88%,2.06%,2.26M,0.78,91.13,-0.20%,"1,757,353"
ACGO,-3.99%,-,-,-,-3.72%,-,-,-,-,1.24%,-,125.47K,0.03,37.81,1.40%,"4,069"
ACGR,-4.68%,-1.28%,10.11%,1.82%,2.89%,17.47%,71.02%,-,-,1.01%,0.44%,1.83K,0.22,67.95,1.22%,399
ACH,21.13%,0.31%,36.02%,28.92%,14.64%,-59.11%,-84.46%,-93.25%,-91.52%,9.06%,8.74%,824.82K,0.80,3.21,17.15%,"663,553"
ACHC,-1.27%,-4.34%,3.09%,77.66%,75.41%,9.31%,-63.56%,-63.29%,-59.56%,5.50%,4.88%,2.88M,0.86,24.89,4.10%,"2,483,307"
ACHR,-16.93%,-17.06%,-13.82%,-38.59%,-29.52%,-56.45%,63.08%,-46.95%,-,10.05%,7.23%,37.69M,1.12,5.30,4.95%,"42,235,356"
ACHV,4.35%,-7.85%,33.33%,17.95%,11.07%,54.62%,-7.23%,-36.62%,-99.77%,7.38%,7.93%,1.35M,2.05,5.52,-4.00%,"2,769,064"
ACI,-3.09%,-3.33%,-8.77%,-10.68%,-10.37%,-27.64%,-26.05%,0.47%,-,2.94%,3.06%,6.67M,1.01,15.39,0.72%,"6,767,403"
ACIC,3.47%,-1.42%,-7.61%,-8.95%,-12.12%,4.12%,126.47%,95.05%,-34.47%,1.92%,2.82%,219.24K,1.42,10.44,0.00%,"310,997"
ACII,0.28%,-0.07%,1.83%,0.76%,0.34%,-,-,-,-,1.18%,1.35%,85.05K,0.28,25.71,0.67%,"23,903"
ACIO,-2.05%,-0.33%,7.28%,4.67%,5.22%,13.08%,50.66%,54.73%,-,1.37%,0.79%,122.34K,1.71,45.98,1.10%,"209,428"
ACIU,-5.83%,-18.41%,-24.67%,-11.02%,-28.03%,6.60%,2.73%,-70.57%,-,7.31%,6.13%,275.39K,1.60,2.26,6.60%,"441,620"
ACIW,4.72%,5.17%,9.72%,-2.44%,-7.22%,-5.74%,88.37%,12.76%,109.34%,3.71%,3.64%,751.62K,1.30,44.36,1.44%,"974,725"
ACKY,-3.36%,-7.34%,-1.43%,-12.46%,-10.52%,-,-,-,-,1.75%,1.19%,31.35K,1.48,17.57,-0.06%,"46,367"
ACLC,-2.10%,0.22%,9.37%,5.05%,5.49%,17.19%,54.34%,55.66%,-,1.72%,0.80%,14.45K,2.87,82.65,1.47%,"41,467"
ACLO,0.09%,-0.08%,0.16%,0.07%,0.18%,0.25%,-,-,-,0.05%,0.07%,41.67K,0.31,50.37,-0.04%,"13,068"
ACLS,7.23%,7.38%,103.77%,95.13%,116.04%,155.51%,0.56%,318.14%,1531.30%,9.96%,6.33%,688.85K,1.01,173.57,10.25%,"694,119"
