Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,5.13%,5.62%,22.14%,3.20%,3.11%,17.07%,11.31%,-8.10%,191.62%,2.45%,2.81%,2.42M,0.77,140.30,-0.17%,"1,864,632"
AAA,-7.13%,-19.81%,-32.12%,-28.13%,-19.31%,40.87%,23.36%,8.92%,-,3.41%,4.39%,5.45M,1.01,42.88,-3.34%,"5,477,889"
AAAA,0.10%,0.09%,0.36%,-0.14%,0.08%,-0.04%,0.99%,-0.01%,-,0.39%,0.35%,10.97K,0.11,25.02,0.00%,"1,173"
AAAAA,-2.53%,-2.35%,1.81%,5.06%,7.78%,15.70%,-,-,-,0.64%,0.54%,6.19K,2.69,29.47,-1.19%,"16,672"
AAAAC,0.05%,-0.07%,0.10%,-0.40%,0.10%,-,-,-,-,0.01%,0.04%,77.71K,0.01,20.08,0.00%,511
AAAAD,0.15%,-1.05%,-,-,-0.09%,-,-,-,-,0.02%,0.01%,0.21K,0.82,49.88,-0.16%,170
AAAAP,0.12%,0.60%,-,-,0.82%,-,-,-,-,0.02%,0.02%,92.92K,0.00,25.33,0.00%,17
AAAAU,-2.11%,0.68%,-12.05%,-21.97%,-6.32%,21.41%,105.31%,119.13%,-,1.22%,1.26%,1.51M,1.27,39.86,0.39%,"1,910,212"
AAAC-U,0.15%,-,-,-,0.30%,-,-,-,-,0.32%,-,782.96K,0.08,10.10,0.00%,"58,893"
AAACB,-0.09%,0.38%,1.35%,1.45%,2.23%,3.85%,-,-,-,0.46%,0.36%,32.89K,4.73,10.53,-0.19%,"155,598"
AAACG,-1.10%,-6.25%,-25.62%,-21.74%,13.88%,-29.40%,-34.31%,-71.52%,121.64%,9.48%,6.39%,15.14K,0.16,0.90,-7.22%,"2,351"
AAACI,0.10%,0.40%,0.71%,-,0.30%,-,-,-,-,0.08%,0.13%,26.27K,15.23,9.98,-0.01%,"400,010"
AAACO,0.30%,0.51%,0.51%,-,0.00%,-,-,-,-,0.04%,0.06%,23.28K,0.00,9.95,0.10%,6
AAACP,0.30%,0.35%,-,-,0.60%,-,-,-,-,0.09%,0.13%,189.58K,0.22,10.01,-0.10%,"42,475"
AAADR,-3.83%,-0.33%,-3.01%,-16.44%,-6.52%,1.88%,52.59%,18.88%,98.65%,0.34%,0.92%,2.34K,0.64,80.63,-0.81%,"1,486"
