Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,5.62%,10.82%,32.42%,15.82%,9.72%,24.11%,17.68%,-6.24%,210.12%,2.26%,2.63%,2.31M,0.44,149.29,0.71%,"1,026,820"
AAA,4.44%,2.08%,-27.54%,-21.47%,-6.68%,56.29%,55.16%,9.59%,-,4.13%,3.71%,5.71M,1.28,49.59,-3.18%,"7,336,140"
AAAA,-0.06%,-0.08%,-0.02%,-0.04%,-0.18%,-0.06%,0.71%,-0.21%,-,0.16%,0.29%,22.24K,0.22,24.95,0.02%,"4,889"
AAAAA,0.98%,2.07%,2.84%,10.10%,13.40%,19.57%,-,-,-,0.17%,0.42%,6.04K,0.15,31.00,0.31%,900
AAAAC,0.10%,0.12%,0.15%,0.02%,0.15%,-,-,-,-,0.00%,0.02%,76.48K,0.00,20.08,0.00%,16
AAAAD,0.30%,-0.73%,-,-,-0.53%,-,-,-,-,0.01%,0.01%,0.25K,0.04,49.67,0.32%,11
AAAAP,0.18%,0.40%,-,-,0.92%,-,-,-,-,0.09%,0.04%,80.28K,0.13,25.35,-0.02%,"10,830"
AAAAU,2.39%,7.25%,-7.22%,-14.56%,0.80%,29.32%,126.15%,142.45%,-,1.13%,1.12%,1.53M,0.85,42.89,-1.45%,"1,297,942"
AAAC-U,-0.88%,0.40%,-,-,0.30%,-,-,-,-,0.20%,0.37%,587.06K,0.00,10.10,0.00%,183
AAACB,0.14%,0.05%,1.39%,2.37%,2.67%,4.39%,-,-,-,0.20%,0.39%,27.78K,30.95,10.57,0.43%,"859,609"
AAACG,23.33%,11.00%,-6.72%,19.62%,40.45%,-40.89%,-13.96%,-59.04%,152.69%,12.61%,8.56%,13.45K,981.97,1.11,21.99%,"13,202,743"
AAACI,0.15%,0.45%,0.86%,-,0.65%,-,-,-,-,0.12%,0.13%,40.44K,0.00,10.02,0.25%,7
