Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,1.90%,9.51%,20.10%,6.29%,3.87%,24.83%,11.91%,-9.22%,197.62%,2.44%,2.75%,2.38M,0.49,141.34,0.16%,"1,160,422"
AAA,5.58%,-2.12%,-24.94%,-18.36%,-10.65%,60.68%,39.85%,16.63%,-,2.55%,3.66%,5.54M,0.79,47.48,-0.44%,"4,389,886"
AAAA,-0.12%,-0.16%,0.16%,-0.19%,-0.12%,0.13%,1.22%,-0.15%,-,0.32%,0.31%,10.37K,0.28,24.97,-0.10%,"2,898"
AAAAA,2.75%,1.91%,2.41%,10.37%,12.29%,20.71%,-,-,-,0.55%,0.49%,6.21K,0.75,30.70,-0.32%,"4,688"
AAAAC,-0.05%,0.17%,0.15%,0.10%,0.05%,-,-,-,-,0.00%,0.04%,76.49K,0.00,20.07,0.00%,18
AAAAD,-0.65%,-0.81%,-,-,-0.83%,-,-,-,-,0.01%,0.01%,0.27K,0.04,49.51,-0.24%,11
AAAAP,-0.12%,0.44%,-,-,0.74%,-,-,-,-,0.03%,0.02%,92.80K,0.09,25.31,-0.06%,"8,297"
AAAAU,3.38%,4.10%,-9.49%,-14.05%,-1.55%,25.80%,117.78%,139.37%,-,1.12%,1.15%,1.51M,0.76,41.89,0.07%,"1,151,102"
AAAC-U,-0.10%,1.29%,-,-,1.19%,-,-,-,-,1.01%,0.41%,650.37K,0.46,10.19,0.54%,"301,539"
AAACB,-0.09%,0.10%,1.35%,1.84%,2.14%,3.65%,-,-,-,0.27%,0.37%,33.05K,0.00,10.52,-0.38%,10
AAACG,-1.83%,-6.39%,-24.37%,3.75%,13.88%,-43.75%,-31.82%,-68.53%,124.60%,7.27%,6.73%,14.60K,0.35,0.90,1.81%,"5,154"
AAACI,0.35%,0.35%,0.91%,-,0.65%,-,-,-,-,0.00%,0.12%,40.38K,0.00,10.02,0.15%,9
AAACO,0.00%,0.10%,0.40%,-,0.00%,-,-,-,-,0.00%,0.06%,21.85K,0.00,9.95,0.30%,6
AAACP,0.00%,0.30%,-,-,0.60%,-,-,-,-,0.06%,0.12%,181.72K,0.65,10.01,0.00%,"118,043"
AAADR,1.56%,1.78%,-2.92%,-8.71%,-1.96%,6.01%,64.26%,23.59%,108.40%,1.00%,0.75%,2.39K,3.68,84.57,0.49%,"8,801"
AAADX,22.47%,1.92%,-,-,2.46%,-,-,-,-,7.32%,8.20%,1.76M,0.36,21.26,0.19%,"632,060"
AAAEQ,3.69%,3.22%,4.67%,12.58%,11.24%,-,-,-,-,0.27%,0.20%,0.59K,0.02,54.87,-0.26%,13
AAAL,3.89%,-2.97%,23.88%,11.09%,4.57%,36.54%,1.20%,-23.74%,-53.46%,3.47%,4.02%,109.42M,0.52,16.03,-3.32%,"56,691,370"
