Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,0.08%,10.98%,12.93%,29.95%,12.85%,22.20%,26.84%,-12.49%,226.86%,2.59%,2.58%,2.26M,1.22,153.56,-0.18%,"2,765,723"
AAA,1.13%,10.36%,-35.76%,-22.05%,-6.00%,55.17%,66.06%,12.58%,-,3.81%,3.86%,5.71M,0.58,49.95,-0.74%,"3,306,463"
AAAA,-0.08%,-0.06%,-0.26%,-0.48%,-0.40%,-0.44%,0.69%,-0.41%,-,0.30%,0.20%,22.13K,0.79,24.90,-0.17%,"17,473"
AAAAA,0.29%,2.11%,-0.25%,9.67%,12.14%,18.52%,-,-,-,0.35%,0.31%,5.91K,0.87,30.66,-0.07%,"5,166"
AAAAC,0.10%,0.25%,0.60%,0.52%,0.40%,-,-,-,-,0.00%,0.00%,75.28K,0.00,20.14,0.00%,10
AAAAD,-0.61%,-0.08%,-,-,-1.28%,-,-,-,-,0.01%,0.01%,0.21K,0.05,49.29,-0.75%,10
AAAAP,-0.24%,0.22%,-,-,0.88%,-,-,-,-,0.12%,0.10%,61.85K,0.00,25.34,-0.33%,229
AAAAU,-4.34%,9.89%,-0.67%,-16.59%,3.13%,28.68%,128.24%,142.97%,-,1.72%,1.32%,1.51M,1.70,43.88,-0.13%,"2,578,871"
AAAC,-,-,-,-,0.60%,-,-,-,-,-,-,4.44K,0.37,10.06,0.00%,"1,626"
AAAC-U,0.00%,-0.10%,-,-,1.19%,-,-,-,-,0.12%,0.42%,464.48K,0.00,10.19,0.00%,118
AAACB,-,0.57%,0.38%,2.41%,2.82%,4.54%,-,-,-,0.13%,0.31%,49.38K,0.00,10.59,0.00%,0
AAACG,-1.06%,2.18%,-20.51%,-6.06%,17.68%,-57.14%,-25.00%,-66.55%,104.71%,4.66%,9.00%,224.55K,0.03,0.93,1.08%,"5,974"
AAACI,-0.10%,0.55%,0.80%,-,0.90%,-,-,-,-,0.20%,0.13%,44.83K,0.01,10.04,-0.10%,615
AAACO,-0.19%,0.30%,0.81%,-,0.20%,-,-,-,-,0.02%,0.04%,22.52K,6.82,9.97,-0.20%,"153,506"
AAACP,0.00%,0.60%,1.21%,-,1.21%,-,-,-,-,0.06%,0.12%,147.95K,0.54,10.07,0.10%,"80,177"
AAADR,-0.24%,0.69%,-3.14%,-10.61%,-3.17%,1.37%,60.04%,22.57%,107.97%,0.48%,1.10%,2.84K,0.48,83.52,0.09%,"1,375"
AAADX,-8.90%,-29.41%,-,-,-36.39%,-,-,-,-,6.01%,7.13%,1.65M,1.76,13.20,-0.75%,"2,908,970"
AAAEQ,0.58%,2.62%,1.14%,11.98%,10.98%,-,-,-,-,0.13%,0.14%,0.73K,0.02,54.74,-0.26%,12
AAAL,-1.47%,-12.05%,-6.35%,7.27%,-12.39%,0.45%,-8.83%,-32.65%,-63.00%,2.40%,2.94%,105.41M,0.65,13.43,-1.54%,"68,828,743"
AAALG,-3.53%,-24.64%,-20.40%,-4.12%,-39.93%,-29.57%,-,-,-,4.09%,4.53%,31.47K,1.86,10.65,-3.16%,"58,507"
AAAME,6.92%,-9.74%,-33.17%,-46.33%,-50.88%,-58.75%,-31.66%,-64.99%,-61.60%,10.97%,7.10%,59.04K,1.39,1.39,-1.42%,"82,332"
