Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
A,-2.83%,-4.70%,13.34%,-9.70%,-5.14%,6.66%,10.32%,-13.28%,183.80%,2.48%,2.71%,2.33M,0.92,129.07,-1.58%,"2,141,127"
AA,-6.96%,-32.52%,-33.51%,-21.04%,-8.71%,59.00%,42.30%,37.19%,-,5.22%,4.92%,5.25M,1.36,48.51,-1.02%,"7,151,058"
AAA,0.44%,0.24%,0.32%,0.12%,0.04%,0.13%,1.73%,0.03%,-,0.45%,0.40%,11.75K,0.43,25.01,-0.08%,"5,052"
AAAA,-1.04%,0.75%,11.21%,9.13%,10.19%,-,-,-,-,0.66%,0.64%,4.46K,1.52,30.13,-0.24%,"6,781"
AAAC,-0.30%,0.00%,0.23%,-0.17%,-0.12%,-,-,-,-,0.01%,0.00%,0.07K,0.20,20.03,0.00%,14
AAAD,-0.64%,0.22%,-,-,-0.03%,-,-,-,-,0.00%,0.04%,0.21K,0.07,49.92,-0.17%,15
AAAP,0.08%,-,-,-,0.30%,-,-,-,-,0.04%,-,114.28K,5.25,25.19,0.00%,"600,059"
AAAU,1.69%,-5.47%,-13.20%,-8.32%,-5.43%,23.40%,110.96%,124.43%,-,1.55%,1.70%,1.65M,0.77,40.24,-0.81%,"1,274,777"
AAC-U,0.10%,-,-,-,-0.10%,-,-,-,-,0.33%,-,2.60M,0.28,10.06,0.00%,"739,024"
AACB,0.19%,0.19%,1.45%,2.04%,2.04%,3.96%,-,-,-,0.22%,0.25%,29.06K,3.53,10.51,-0.19%,"102,655"
AACG,-6.66%,-11.80%,-2.40%,22.47%,21.65%,16.03%,-30.33%,-63.86%,112.54%,5.84%,7.69%,18.87K,0.14,0.96,-5.75%,"2,633"
AACI,-0.10%,0.30%,1.11%,-,0.30%,-,-,-,-,0.14%,0.11%,31.84K,1.57,9.98,-0.10%,"50,030"
AACO,0.40%,0.51%,-,-,-0.10%,-,-,-,-,0.15%,0.08%,24.01K,0.00,9.94,-0.10%,106
AACP,0.30%,-0.10%,-,-,0.30%,-,-,-,-,0.14%,0.16%,265.62K,0.00,9.98,0.10%,993
AADR,1.18%,0.74%,0.51%,-6.52%,-3.67%,5.30%,70.71%,30.16%,112.01%,1.57%,1.29%,2.18K,0.20,83.09,0.10%,446
AADX,-8.43%,18.93%,-,-,0.53%,-,-,-,-,9.13%,10.48%,2.50M,0.69,20.86,-10.43%,"1,716,747"
AAEQ,-0.05%,0.96%,12.77%,6.92%,7.77%,-,-,-,-,0.01%,0.23%,0.95K,0.02,53.16,-0.18%,23
AAL,-8.58%,22.37%,52.82%,4.36%,7.76%,42.66%,-9.97%,-18.82%,-45.01%,4.40%,4.36%,92.04M,1.91,16.52,-3.95%,"175,752,220"
AALG,-17.39%,44.02%,111.99%,-9.90%,-4.18%,-,-,-,-,8.08%,7.50%,52.78K,0.78,16.98,-8.37%,"41,169"
AAME,1.50%,1.50%,-25.33%,-42.93%,-40.11%,-22.95%,-13.52%,-61.30%,-58.66%,3.66%,5.20%,12.63K,0.49,1.70,0.89%,"6,207"
AAMI,8.21%,4.58%,37.53%,57.04%,64.66%,104.79%,287.14%,226.82%,487.18%,4.60%,4.29%,475.41K,0.65,77.39,-1.14%,"311,173"
AAOG,-42.63%,-65.41%,-,-,-73.85%,-,-,-,-,28.28%,26.80%,996.96K,0.62,4.05,-0.49%,"615,104"
AAOI,-22.76%,-35.34%,-2.72%,227.06%,228.28%,325.74%,1491.66%,1374.74%,912.74%,12.45%,12.26%,12.51M,0.50,114.44,0.03%,"6,236,605"
AAON,-14.88%,-18.58%,33.51%,32.52%,41.61%,43.32%,71.51%,158.20%,490.70%,6.65%,5.76%,1.13M,0.82,107.98,-1.78%,"929,479"
AAOX,-42.64%,-65.49%,-45.51%,-,-28.93%,-,-,-,-,28.67%,27.00%,5.23M,0.63,18.13,-0.28%,"3,275,185"
AAP,-11.46%,-3.03%,4.59%,42.17%,40.18%,-1.11%,-20.60%,-73.45%,-66.58%,4.37%,4.64%,1.86M,1.64,55.09,-1.38%,"3,052,512"
AAPB,16.70%,1.70%,46.96%,28.29%,23.75%,96.59%,45.47%,-,-,3.93%,5.18%,90.67K,0.55,39.68,1.67%,"49,880"
AAPD,-7.84%,-3.21%,-20.24%,-16.40%,-14.87%,-34.89%,-45.37%,-,-,2.92%,2.99%,7.68M,0.73,11.16,-0.89%,"5,582,514"
AAPE,-,-,-,-,0.35%,-,-,-,-,-,-,0.21K,4.59,14.94,0.75%,978
AAPG,7.40%,9.65%,-30.99%,-30.02%,-28.12%,-54.39%,-,-,-,4.52%,2.95%,10.76K,0.71,18.86,0.96%,"7,628"
AAPL,8.30%,1.97%,23.63%,17.26%,15.28%,49.23%,64.35%,118.79%,1196.61%,2.90%,3.03%,54.01M,0.76,313.39,0.88%,"41,238,698"
AAPR,0.01%,0.43%,2.14%,3.68%,3.81%,8.15%,-,-,-,0.18%,0.22%,15.87K,0.02,29.50,-0.06%,337
AAPU,16.92%,1.34%,45.92%,25.72%,21.41%,88.90%,71.82%,-,-,5.78%,6.09%,2.23M,0.45,40.77,1.70%,"993,697"
AAPW,9.75%,-0.69%,19.32%,3.90%,0.80%,11.15%,-,-,-,2.96%,2.96%,15.70K,1.02,40.76,0.77%,"16,038"
AAPX,16.77%,2.04%,45.42%,25.79%,21.33%,87.06%,-,-,-,5.30%,5.45%,85.54K,0.39,36.98,1.99%,"33,039"
AAPY,8.37%,-0.70%,21.04%,8.78%,6.85%,21.26%,-,-,-,1.03%,2.05%,4.92K,0.37,26.59,0.70%,"1,829"
AARD,-8.33%,43.48%,30.69%,-60.24%,-59.77%,-59.51%,-,-,-,11.47%,10.62%,191.55K,1.33,5.28,-2.94%,"255,521"
AAT,1.30%,5.71%,32.05%,35.04%,32.12%,23.08%,26.70%,-31.65%,-42.35%,2.14%,2.00%,396.57K,1.58,25.01,0.04%,"626,097"
AAUA,0.05%,1.70%,14.49%,-,14.96%,-,-,-,-,0.04%,0.28%,1.71K,0.01,56.95,-0.24%,15
AAUC,-4.71%,-11.14%,-27.70%,-4.43%,-0.96%,72.32%,-,-,-,3.93%,4.02%,701.13K,0.20,22.66,-3.82%,"140,161"
AAUM,2.47%,-0.84%,4.36%,-21.68%,-18.14%,-,-,-,-,0.21%,0.23%,0.39K,0.00,20.04,0.00%,0
AAUS,0.14%,1.25%,12.88%,7.88%,8.57%,-,-,-,-,0.12%,0.28%,1.87K,0.07,59.83,-0.23%,136
AAVM,-1.18%,-0.65%,4.58%,9.78%,12.85%,23.79%,49.15%,23.34%,-,0.26%,0.41%,2.84K,0.25,33.31,-0.36%,718
AAXJ,-3.45%,2.83%,18.14%,18.50%,23.72%,39.46%,74.43%,28.51%,110.54%,2.01%,2.09%,668.02K,1.62,115.21,0.84%,"1,085,010"
AB,3.32%,-2.33%,-3.09%,-7.38%,-5.43%,-10.57%,15.38%,-18.92%,56.99%,1.95%,1.89%,305.72K,0.57,36.39,-1.09%,"175,571"
ABAT,-7.77%,-16.08%,-4.74%,-43.99%,-21.86%,32.49%,-76.33%,-90.94%,-85.38%,6.32%,9.27%,6.32M,0.79,2.61,-0.76%,"4,997,998"
ABBV,0.44%,11.23%,22.47%,14.79%,10.61%,33.18%,86.52%,117.22%,293.92%,2.69%,2.64%,7.15M,0.79,252.74,-0.75%,"5,673,817"
ABCB,-2.40%,3.07%,10.68%,16.28%,18.61%,31.05%,156.00%,84.91%,197.80%,2.59%,2.15%,530.90K,0.76,88.09,-2.32%,"404,582"
ABCL,-9.55%,26.33%,115.15%,107.00%,107.60%,82.52%,9.06%,-61.66%,-,10.03%,9.53%,7.76M,1.21,7.10,-7.67%,"9,371,938"
