Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
A,-3.98%,-4.95%,13.09%,-4.02%,-4.02%,7.60%,10.28%,-12.34%,193.68%,2.98%,2.79%,2.30M,0.87,130.60,-0.07%,"1,999,855"
AA,-7.82%,-38.33%,-30.28%,-6.15%,-6.15%,60.10%,53.26%,36.74%,-,5.39%,5.01%,5.18M,1.40,49.87,2.44%,"7,279,089"
AAA,0.19%,0.27%,0.37%,0.15%,0.15%,-0.21%,1.86%,0.13%,-,0.49%,0.40%,11.08K,3.96,25.04,0.36%,"43,826"
AAAA,1.18%,-0.78%,13.14%,11.39%,11.39%,-,-,-,-,0.80%,0.72%,4.48K,2.34,30.46,0.91%,"10,497"
AAAC,-0.32%,0.07%,0.23%,-0.12%,-0.12%,-,-,-,-,0.00%,0.00%,0.04K,0.54,20.03,0.07%,21
AAAD,-0.38%,0.57%,-,-,0.57%,-,-,-,-,0.00%,-,0.23K,0.11,50.22,0.06%,25
AAAP,0.08%,-,-,-,0.40%,-,-,-,-,0.06%,-,146.80K,0.00,25.19,0.02%,507
AAAU,2.27%,-6.30%,-10.96%,-3.55%,-3.55%,24.61%,116.80%,129.66%,-,1.26%,1.68%,1.69M,0.40,41.04,1.01%,"684,609"
AAC-U,-,-,-,-,0.00%,-,-,-,-,-,-,3.88M,0.25,10.05,-0.00%,"975,852"
AACB,0.24%,0.14%,1.69%,2.09%,2.09%,4.11%,-,-,-,0.20%,0.27%,30.72K,0.03,10.52,-0.05%,868
AACG,7.53%,-8.26%,3.20%,26.53%,26.53%,19.14%,-26.88%,-65.16%,112.16%,7.61%,7.69%,18.71K,0.70,1.00,-3.85%,"13,160"
AACI,0.55%,0.45%,1.37%,-,1.27%,-,-,-,-,0.22%,0.13%,32.12K,0.00,9.99,-0.05%,8
AACO,0.10%,0.20%,-,-,-0.40%,-,-,-,-,0.16%,0.08%,24.44K,0.00,9.91,-0.40%,13
AACP,-0.10%,0.20%,-,-,0.30%,-,-,-,-,0.17%,0.17%,285.68K,0.01,9.98,0.10%,"2,275"
AADR,4.19%,-0.81%,1.10%,-2.42%,-2.42%,7.07%,74.98%,28.95%,116.20%,1.80%,1.40%,2.39K,0.58,84.17,2.04%,"1,374"
AADX,12.42%,21.41%,-,-,21.41%,-,-,-,-,8.39%,10.19%,2.62M,0.31,23.08,0.09%,"812,930"
AAEQ,2.68%,-0.41%,14.02%,8.46%,8.46%,-,-,-,-,0.15%,0.30%,0.99K,0.02,53.50,0.85%,16
AAL,-0.67%,30.80%,63.75%,15.79%,15.79%,51.84%,-0.73%,-15.52%,-37.39%,3.90%,4.29%,89.06M,1.58,17.75,-0.95%,"140,812,164"
AALG,-1.87%,65.67%,146.26%,11.65%,11.65%,-,-,-,-,6.41%,7.20%,53.81K,0.21,19.79,-1.59%,"11,376"
AAME,0.59%,-10.94%,-22.97%,-39.58%,-39.58%,-26.92%,-16.18%,-61.14%,-58.19%,3.31%,5.60%,12.98K,1.35,1.71,0.00%,"17,495"
AAMI,9.63%,9.54%,43.18%,68.40%,68.40%,110.62%,288.94%,229.93%,515.00%,4.93%,4.43%,465.17K,1.57,79.15,8.29%,"729,834"
AAOG,-21.57%,-63.89%,-,-,-69.57%,-,-,-,-,28.16%,29.21%,991.58K,1.02,4.74,3.38%,"1,009,383"
AAOI,-9.09%,-32.98%,18.72%,253.87%,253.87%,330.43%,1794.93%,1411.76%,1045.40%,12.64%,13.31%,12.70M,0.64,123.36,1.99%,"8,078,934"
AAON,-13.75%,-26.24%,34.40%,43.41%,43.41%,45.32%,77.73%,162.65%,506.15%,6.11%,5.86%,1.11M,0.77,109.35,1.61%,"859,374"
AAOX,-21.16%,-63.77%,-19.48%,-,-38.89%,-,-,-,-,28.68%,29.49%,5.16M,0.86,21.20,4.02%,"4,417,693"
AAP,-9.41%,-1.38%,8.68%,43.33%,43.33%,9.12%,-19.48%,-73.01%,-65.11%,4.53%,4.75%,1.83M,1.31,56.33,-8.45%,"2,393,570"
AAPB,20.27%,-0.27%,43.87%,23.38%,23.38%,90.04%,43.37%,-,-,4.51%,5.12%,92.29K,0.86,39.56,2.66%,"79,177"
AAPD,-10.42%,-2.02%,-19.24%,-14.72%,-14.72%,-33.69%,-44.95%,-,-,3.34%,2.97%,7.99M,0.63,11.18,-1.58%,"5,071,696"
