Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AAUS,-1.17%,-2.66%,10.67%,5.32%,6.04%,-,-,-,-,0.15%,0.28%,1.83K,0.35,58.44,-0.20%,642
AAVM,-0.75%,-2.77%,6.78%,11.22%,14.31%,27.63%,52.13%,22.20%,-,0.24%,0.42%,2.86K,0.09,33.75,0.68%,249
AAXJ,-0.56%,-0.06%,21.19%,28.86%,27.12%,43.37%,79.89%,25.37%,127.48%,1.67%,2.06%,823.38K,0.81,118.37,1.00%,"666,767"
AB,-1.16%,-5.05%,-2.67%,-8.52%,-7.12%,-11.73%,12.50%,-22.24%,58.21%,2.00%,1.76%,312.41K,1.46,35.74,1.65%,"455,807"
ABAT,-12.90%,-23.30%,-5.59%,-35.10%,-19.16%,110.94%,-76.92%,-91.67%,-87.92%,6.46%,10.81%,6.11M,0.50,2.70,0.00%,"3,030,256"
ABBV,9.90%,14.09%,17.36%,6.68%,6.41%,31.15%,78.88%,115.21%,306.18%,3.25%,2.50%,6.18M,1.64,243.14,3.51%,"10,165,157"
ABCB,5.14%,5.51%,16.88%,16.49%,21.76%,43.20%,171.56%,70.56%,211.94%,1.95%,2.01%,510.64K,1.08,90.43,1.24%,"550,452"
ABCL,22.43%,25.90%,96.46%,79.03%,94.74%,75.26%,-8.89%,-67.89%,-,9.42%,9.80%,6.71M,1.76,6.66,10.45%,"11,843,847"
ABCS,1.75%,3.23%,11.20%,7.70%,9.42%,17.27%,-,-,-,0.33%,0.59%,2.14K,0.54,33.29,0.26%,"1,155"
ABEO,-1.59%,1.28%,25.79%,2.21%,5.50%,-7.02%,11.87%,-86.84%,-91.31%,3.44%,4.01%,1.07M,1.48,5.56,-1.07%,"1,585,872"
ABEQ,0.35%,0.35%,-0.24%,3.38%,5.02%,10.13%,34.01%,37.08%,-,0.55%,0.56%,13.02K,1.08,37.65,0.30%,"14,083"
ABEV,0.00%,-3.98%,10.18%,36.52%,27.13%,35.34%,5.51%,1.15%,-30.47%,1.74%,2.18%,28.11M,0.78,3.14,0.32%,"21,951,963"
ABFL,1.37%,1.63%,15.48%,15.00%,17.18%,20.30%,64.03%,72.65%,-,0.79%,1.28%,65.43K,0.07,83.63,1.50%,"4,894"
ABG,6.80%,6.86%,4.62%,-14.29%,-12.68%,-15.65%,-11.08%,20.14%,280.74%,3.55%,3.19%,261.65K,0.67,203.05,-1.59%,"176,316"
ABI,0.22%,0.04%,0.12%,0.24%,0.20%,-,-,-,-,0.01%,0.02%,0.36K,0.03,24.86,-0.04%,12
ABIG,-0.54%,-0.47%,13.77%,4.93%,4.96%,15.02%,-,-,-,0.38%,0.49%,4.86K,0.31,33.60,-0.07%,"1,521"
ABLD,-0.84%,-4.75%,-4.67%,3.77%,3.35%,5.97%,16.32%,-,-,0.62%,0.67%,30.37K,0.11,30.07,0.90%,"3,295"
ABLG,0.18%,0.38%,8.73%,2.60%,3.54%,5.84%,24.01%,-7.26%,-,0.22%,0.93%,1.53K,0.01,32.83,1.72%,8
ABLS,3.38%,8.46%,25.24%,-3.89%,12.36%,-5.10%,-,-,-,0.53%,0.74%,0.70K,2.61,22.51,0.59%,"1,842"
ABLV,0.91%,9.90%,71.43%,38.77%,64.32%,5.71%,-89.53%,-,-,6.22%,8.90%,433.48K,0.23,1.11,0.91%,"98,156"
ABM,3.10%,11.99%,16.38%,6.21%,5.98%,0.85%,10.61%,-0.42%,25.43%,2.90%,2.78%,553.04K,0.68,44.83,0.58%,"376,746"
