Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,-2.82%,4.77%,6.88%,-10.06%,-4.27%,14.27%,4.58%,-12.75%,177.09%,2.43%,2.64%,2.37M,1.04,130.26,-0.91%,"2,470,805"
AAA,-10.76%,-29.56%,-33.74%,-31.86%,-18.18%,43.36%,33.05%,24.41%,-,5.27%,4.55%,5.32M,1.42,43.48,-1.14%,"7,535,747"
AAAA,-0.08%,-0.18%,-0.44%,-0.46%,-0.30%,-0.26%,1.03%,-0.35%,-,0.24%,0.37%,10.92K,0.61,24.92,-0.06%,"6,712"
AAAAA,-0.72%,-1.17%,3.36%,7.70%,9.47%,18.84%,-,-,-,0.34%,0.48%,4.64K,4.96,29.93,-0.17%,"23,014"
AAAAC,0.15%,0.02%,0.20%,-0.15%,0.05%,-,-,-,-,0.10%,0.04%,77.57K,0.00,20.07,0.00%,15
AAAAD,0.31%,-0.39%,-,-,0.11%,-,-,-,-,0.00%,0.01%,0.23K,0.04,49.99,-0.26%,10
AAAAP,0.24%,-,-,-,0.66%,-,-,-,-,0.02%,-,131.12K,0.00,25.28,0.00%,6
AAAAU,0.15%,-5.39%,-17.50%,-13.05%,-7.14%,19.47%,102.51%,119.48%,-,1.19%,1.31%,1.59M,0.66,39.51,-0.20%,"1,041,101"
AAAC-U,-0.40%,-,-,-,-0.40%,-,-,-,-,0.12%,-,1.13M,0.00,10.03,-0.59%,103
AAACB,-0.47%,0.00%,1.25%,1.84%,1.94%,3.86%,-,-,-,0.47%,0.25%,32.51K,1.85,10.50,-0.38%,"60,286"
AAACG,-0.09%,-5.00%,-5.94%,-6.86%,20.21%,15.85%,-32.14%,-71.03%,97.04%,5.55%,6.60%,18.45K,0.12,0.95,-3.05%,"2,295"
AAACI,0.30%,0.40%,1.11%,-,0.50%,-,-,-,-,0.00%,0.12%,21.73K,0.00,10.00,-0.00%,48
