Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,0.58%,7.60%,20.06%,6.79%,3.70%,22.82%,11.73%,-8.98%,197.14%,2.41%,2.74%,2.41M,0.53,141.11,1.37%,"1,266,396"
AAA,11.22%,-2.69%,-24.37%,-22.27%,-10.26%,61.01%,40.47%,23.07%,-,2.46%,3.75%,5.51M,0.89,47.69,1.84%,"4,907,649"
AAAA,-0.10%,-0.14%,0.50%,-0.04%,-0.02%,0.02%,1.32%,-0.05%,-,0.36%,0.31%,10.59K,0.74,25.00,0.01%,"7,810"
AAAAA,4.51%,1.99%,4.43%,10.58%,12.65%,21.52%,-,-,-,0.59%,0.50%,6.22K,0.20,30.80,-0.20%,"1,263"
AAAAC,-0.05%,0.17%,0.20%,0.10%,0.05%,-,-,-,-,0.00%,0.04%,76.48K,0.00,20.07,0.05%,33
AAAAD,-0.50%,-0.73%,-,-,-0.59%,-,-,-,-,0.01%,0.01%,0.27K,1.38,49.64,0.09%,374
AAAAP,-0.02%,0.50%,-,-,0.80%,-,-,-,-,0.01%,0.02%,76.93K,7.19,25.32,0.10%,"553,055"
AAAAU,5.02%,3.18%,-6.79%,-14.20%,-1.62%,25.46%,117.62%,133.07%,-,1.09%,1.17%,1.50M,1.09,41.86,4.09%,"1,631,292"
AAAC-U,0.35%,0.75%,-,-,0.65%,-,-,-,-,0.87%,0.37%,679.91K,0.00,10.14,-0.50%,586
AAACB,0.28%,0.28%,1.73%,1.64%,2.52%,4.35%,-,-,-,0.30%,0.39%,34.09K,0.01,10.56,0.19%,334
AAACG,-1.78%,-13.33%,-21.42%,-1.78%,11.86%,-37.75%,-33.03%,-69.20%,120.61%,7.89%,6.86%,14.67K,0.17,0.88,-0.01%,"2,528"
AAACI,0.20%,0.00%,0.76%,-,0.50%,-,-,-,-,0.00%,0.12%,39.31K,0.01,10.00,0.05%,520
AAACO,-0.30%,-0.30%,0.20%,-,-0.30%,-,-,-,-,0.00%,0.06%,21.85K,0.00,9.92,-0.30%,27
AAACP,0.00%,0.40%,-,-,0.60%,-,-,-,-,0.01%,0.10%,169.00K,0.09,10.01,-0.07%,"14,633"
AAADR,4.37%,1.39%,-0.67%,-11.15%,-2.43%,5.49%,63.46%,23.05%,107.38%,1.00%,0.74%,2.40K,0.54,84.16,0.61%,"1,284"
AAADX,22.59%,-8.89%,-,-,2.27%,-,-,-,-,6.74%,8.48%,1.78M,0.50,21.22,3.26%,"894,282"
AAAEQ,5.79%,3.30%,6.45%,11.97%,11.53%,-,-,-,-,0.27%,0.20%,0.59K,0.26,55.01,-0.11%,155
AAAL,11.73%,-3.60%,34.03%,18.34%,8.15%,42.44%,4.67%,-20.71%,-51.86%,3.44%,4.07%,109.37M,0.46,16.58,0.12%,"49,981,112"
AAALG,23.90%,-10.43%,62.38%,14.91%,-6.33%,40.96%,-,-,-,4.92%,6.78%,37.39K,1.40,16.60,0.29%,"52,288"
AAAME,-0.64%,-7.74%,-38.25%,-42.38%,-45.23%,-32.75%,-19.27%,-63.44%,-62.74%,6.46%,3.78%,13.45K,0.75,1.55,0.65%,"10,083"
AAAMI,13.09%,16.77%,33.76%,76.91%,94.49%,105.23%,343.74%,249.16%,560.48%,5.25%,3.72%,491.18K,0.77,91.41,-0.55%,"379,954"
AAAOG,160.51%,0.49%,-,-,-73.60%,-,-,-,-,27.32%,23.96%,1.29M,3.55,4.09,-5.32%,"4,594,227"
AAAOI,68.01%,12.37%,-28.80%,178.75%,268.79%,500.33%,1067.67%,1569.61%,769.24%,13.75%,11.45%,11.95M,1.04,128.56,-2.33%,"12,480,209"
