Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
A,-5.27%,14.90%,13.83%,-8.12%,-5.68%,7.83%,5.95%,-10.62%,182.87%,2.65%,3.13%,2.22M,1.06,128.34,-1.72%,"2,354,464"
AA,-13.17%,0.54%,-3.90%,36.26%,18.31%,116.72%,76.50%,77.80%,-,5.66%,5.06%,5.13M,0.99,62.87,-2.01%,"5,063,145"
AAA,-0.07%,-0.12%,-0.32%,-0.42%,-0.30%,-0.09%,1.30%,-0.35%,-,0.25%,0.33%,8.58K,0.03,24.92,0.00%,255
AAAA,1.99%,2.14%,11.92%,11.47%,11.68%,-,-,-,-,0.65%,0.64%,4.46K,1.16,30.54,-0.54%,"5,150"
AAAC,0.05%,-0.12%,0.22%,0.15%,-0.05%,-,-,-,-,0.00%,0.00%,0.03K,0.12,20.05,-0.02%,4
AAAD,0.64%,-,-,-,0.50%,-,-,-,-,0.08%,-,0.35K,0.26,50.18,0.22%,92
AAAU,1.73%,-4.71%,-13.36%,0.66%,0.40%,27.81%,120.38%,134.85%,-,2.00%,1.54%,2.23M,0.36,42.72,0.26%,"807,089"
AACB,0.19%,0.67%,1.64%,2.04%,2.04%,3.65%,-,-,-,0.32%,0.23%,25.39K,4.14,10.51,0.00%,"105,217"
AACG,-6.51%,-15.55%,0.77%,6.70%,27.17%,24.07%,-28.72%,-66.61%,85.38%,8.31%,7.80%,13.86K,0.44,1.00,-0.50%,"6,072"
AACI,0.00%,0.10%,-,-,0.81%,-,-,-,-,0.06%,0.10%,37.74K,0.00,9.95,-0.10%,90
AACO,0.00%,-0.10%,-,-,-0.20%,-,-,-,-,0.04%,0.11%,8.84K,0.08,9.93,0.20%,719
AACP,0.00%,-,-,-,0.10%,-,-,-,-,0.28%,-,493.60K,0.96,9.96,-0.20%,"471,914"
AADR,1.99%,-0.07%,-0.49%,-1.66%,-2.62%,7.16%,66.41%,26.47%,123.69%,1.13%,1.10%,3.22K,0.95,84.00,-0.31%,"3,050"
AADX,15.74%,-,-,-,16.41%,-,-,-,-,14.00%,-,4.33M,0.32,22.13,11.88%,"1,389,633"
AAEQ,1.68%,1.08%,11.52%,7.72%,8.19%,-,-,-,-,0.10%,0.21%,2.80K,0.00,53.37,-0.35%,6
AAL,11.50%,27.62%,44.66%,5.01%,2.48%,44.13%,-4.67%,-31.19%,-46.09%,5.24%,4.61%,70.23M,1.90,15.71,1.62%,"133,341,946"
AALG,21.90%,57.57%,91.00%,-9.37%,-11.38%,-,-,-,-,8.74%,7.89%,63.46K,0.93,15.70,2.85%,"58,924"
AAME,2.84%,-19.56%,-32.96%,-27.02%,-36.04%,-2.16%,-19.20%,-57.41%,-52.24%,6.35%,5.38%,12.58K,0.61,1.81,0.56%,"7,702"
AAMI,6.45%,19.63%,61.08%,72.64%,75.17%,159.72%,270.69%,255.18%,469.76%,3.92%,3.67%,364.93K,1.07,82.33,2.18%,"392,150"
AAOG,5.50%,-34.31%,-,-,-36.00%,-,-,-,-,22.48%,29.81%,752.72K,2.68,9.98,-21.60%,"2,018,522"
AAOI,4.87%,-10.27%,97.86%,432.78%,389.99%,899.47%,3421.86%,1845.44%,1582.86%,10.91%,14.05%,12.77M,1.02,170.81,-10.83%,"13,013,801"
AAON,0.77%,-3.56%,64.35%,67.66%,71.36%,77.26%,104.58%,211.94%,654.68%,5.73%,5.74%,1.07M,0.71,130.66,-0.46%,"762,461"
AAOX,5.61%,-34.41%,-,-,28.57%,-,-,-,-,22.73%,30.66%,4.14M,2.10,44.60,-21.09%,"8,709,184"
AAP,0.55%,27.98%,16.28%,30.19%,53.61%,24.58%,-12.79%,-69.34%,-60.78%,3.65%,5.16%,1.78M,0.66,60.37,-1.10%,"1,172,369"
AAPB,6.26%,-1.70%,34.76%,9.10%,14.63%,102.48%,41.25%,-,-,4.32%,4.15%,94.92K,0.26,36.76,2.25%,"24,272"
AAPD,-2.85%,0.32%,-15.45%,-8.13%,-9.74%,-35.06%,-44.29%,-,-,2.37%,2.22%,8.99M,0.63,11.83,-0.90%,"5,676,169"
AAPG,-0.35%,-12.77%,-30.29%,-43.95%,-35.18%,-47.06%,-,-,-,2.42%,3.76%,6.08K,2.30,17.01,-1.90%,"13,974"
AAPL,2.99%,-0.33%,17.70%,7.53%,10.07%,50.81%,61.82%,129.92%,1127.02%,2.40%,2.26%,46.67M,0.85,299.24,0.95%,"39,709,504"
AAPR,0.39%,0.39%,2.68%,4.35%,3.77%,9.28%,-,-,-,0.23%,0.22%,19.08K,0.05,29.49,0.02%,"1,042"
AAPU,5.88%,-1.71%,33.32%,6.75%,13.07%,94.62%,65.75%,-,-,4.80%,4.55%,2.23M,0.45,37.97,1.85%,"1,004,134"
AAPW,2.73%,-3.51%,12.22%,-7.79%,-3.09%,12.57%,-,-,-,1.98%,2.54%,20.84K,0.49,39.19,1.32%,"10,112"
AAPX,5.96%,-2.12%,32.81%,4.53%,12.07%,91.59%,-,-,-,3.74%,4.17%,100.54K,0.12,34.16,1.40%,"11,923"
AAPY,3.00%,-1.84%,15.86%,0.89%,3.98%,23.23%,-,-,-,1.49%,1.62%,3.92K,5.10,25.88,1.21%,"19,988"
AARD,3.91%,-18.60%,-30.21%,-74.22%,-71.66%,-65.71%,-,-,-,7.69%,9.60%,192.88K,0.56,3.72,-3.12%,"107,629"
AAT,-0.08%,17.48%,27.82%,27.35%,28.90%,19.61%,23.86%,-36.21%,-40.49%,1.75%,2.23%,382.96K,1.01,24.40,0.49%,"387,565"
AAUA,1.88%,1.84%,-,-,13.96%,-,-,-,-,0.69%,0.35%,2.97K,0.01,56.98,-0.37%,36
AAUC,5.65%,-4.54%,-14.10%,17.24%,17.70%,79.17%,-,-,-,3.42%,3.86%,737.80K,0.20,26.93,2.08%,"146,172"
AAUM,3.64%,1.37%,9.75%,-12.70%,-12.98%,-,-,-,-,0.61%,0.26%,0.47K,0.05,21.30,1.02%,24
AAUS,1.70%,1.10%,11.12%,8.77%,8.72%,-,-,-,-,0.18%,0.20%,1.71K,3.08,59.91,-0.36%,"5,275"
AAVM,2.11%,1.63%,8.44%,14.69%,16.19%,29.09%,50.54%,25.22%,-,0.50%,0.46%,2.94K,0.57,34.30,-0.62%,"1,663"
AAXJ,4.21%,5.73%,18.26%,29.78%,28.05%,46.96%,72.91%,29.19%,125.36%,2.11%,2.04%,905.07K,0.42,119.24,-1.71%,"383,694"
AB,-1.43%,-4.23%,-4.23%,-8.78%,-5.28%,-8.42%,8.94%,-19.61%,61.71%,1.64%,1.74%,308.94K,1.00,36.45,1.17%,"309,969"
ABAT,-4.32%,-0.96%,-5.20%,-24.21%,-7.19%,134.85%,-74.17%,-91.01%,-87.47%,10.16%,11.28%,6.01M,1.30,3.10,-8.55%,"7,812,488"
ABBV,-1.31%,5.74%,1.23%,-0.38%,-2.63%,16.56%,60.47%,92.56%,265.30%,1.93%,2.30%,6.41M,0.93,222.47,0.40%,"5,939,901"
ABCB,2.75%,7.16%,17.90%,13.50%,19.12%,46.16%,150.48%,59.41%,198.38%,1.92%,1.91%,495.26K,2.04,88.47,0.71%,"1,009,604"
ABCL,-3.96%,24.45%,43.38%,40.61%,48.83%,61.08%,-32.85%,-77.91%,-,6.36%,9.99%,6.21M,0.59,5.09,-3.23%,"3,635,068"
ABCS,1.00%,5.58%,10.97%,7.54%,9.19%,17.55%,-,-,-,0.89%,0.57%,2.19K,1.10,33.22,0.13%,"2,407"
ABEO,3.67%,2.91%,18.70%,5.41%,7.21%,-5.28%,25.56%,-86.94%,-92.07%,4.13%,4.34%,1.15M,1.35,5.65,-0.35%,"1,561,213"
ABEQ,1.87%,1.76%,-1.41%,4.45%,5.41%,9.33%,32.83%,35.28%,-,0.57%,0.52%,13.08K,0.24,37.79,0.51%,"3,183"
ABEV,2.56%,4.23%,10.34%,25.49%,29.55%,31.69%,11.35%,-6.44%,-28.21%,2.00%,2.23%,27.66M,1.04,3.20,-1.54%,"28,777,267"
ABFL,2.81%,1.70%,14.25%,15.54%,16.15%,18.94%,60.13%,74.10%,-,1.34%,1.31%,67.43K,0.13,82.90,-1.03%,"8,887"
ABG,-0.61%,11.53%,5.66%,-17.99%,-14.07%,-16.73%,-9.91%,15.17%,262.26%,2.58%,3.08%,264.16K,0.71,199.82,0.14%,"188,260"
ABI,0.16%,0.16%,-0.14%,0.32%,0.12%,-,-,-,-,0.00%,0.03%,0.34K,0.03,24.84,0.00%,11
