Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,-0.19%,11.19%,15.23%,28.96%,14.65%,31.43%,30.35%,-10.25%,229.67%,3.20%,2.45%,2.31M,0.01,156.00,0.59%,714
AAA,-2.04%,15.48%,-34.48%,-21.98%,-6.82%,55.71%,75.40%,12.21%,-,4.47%,3.83%,5.72M,0.03,49.52,-0.41%,"7,775"
AAAA,0.05%,-0.21%,0.07%,-0.35%,-0.13%,-0.39%,0.63%,-0.19%,-,0.28%,0.24%,22.66K,0.00,24.97,0.00%,0
AAAAA,-0.26%,2.76%,0.51%,8.38%,12.10%,18.49%,-,-,-,0.23%,0.35%,6.26K,0.00,30.65,0.00%,0
AAAAC,0.05%,0.20%,0.15%,0.07%,0.30%,-,-,-,-,0.00%,0.00%,75.28K,0.00,20.11,0.00%,0
AAAAD,0.03%,-0.53%,-,-,-0.46%,-,-,-,-,0.01%,0.01%,0.22K,0.00,49.70,0.00%,0
AAAAP,0.08%,0.32%,-,-,1.13%,-,-,-,-,0.15%,0.08%,63.56K,0.00,25.41,0.00%,0
AAAAU,1.01%,13.15%,1.73%,-12.00%,5.99%,34.47%,137.74%,149.24%,-,1.29%,1.26%,1.49M,0.04,45.10,-0.40%,"3,262"
AAAC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AAAC-U,0.00%,0.89%,-,-,1.19%,-,-,-,-,0.25%,0.42%,493.05K,0.00,10.19,0.00%,0
AAACB,-,0.38%,1.44%,2.41%,2.82%,4.54%,-,-,-,0.13%,0.31%,49.38K,0.00,10.59,0.00%,0
AAACG,-2.71%,0.01%,-17.09%,-2.99%,22.75%,-46.70%,-21.13%,-63.11%,102.96%,7.14%,9.73%,224.58K,0.00,0.97,0.00%,0
AAACI,0.40%,0.60%,1.21%,-,1.01%,-,-,-,-,0.12%,0.13%,43.73K,0.00,10.05,0.00%,0
AAACO,0.19%,0.49%,1.10%,-,0.39%,-,-,-,-,0.02%,0.07%,23.66K,0.00,9.99,0.00%,0
AAACP,0.30%,0.40%,-,-,1.11%,-,-,-,-,0.29%,0.13%,172.89K,0.00,10.06,0.00%,0
AAADR,0.47%,3.64%,-2.83%,-11.29%,-2.32%,1.31%,63.44%,24.22%,107.52%,0.65%,1.14%,2.84K,0.00,84.25,0.00%,0
AAADX,-5.35%,-15.25%,-,-,-29.30%,-,-,-,-,7.45%,7.43%,1.66M,0.00,14.67,2.59%,220
AAAEQ,-0.28%,3.53%,2.21%,10.84%,10.87%,-,-,-,-,0.11%,0.22%,0.75K,0.00,54.69,0.00%,0
AAAL,2.59%,-6.54%,-5.32%,-0.50%,-9.52%,5.64%,-4.87%,-31.40%,-61.72%,2.69%,3.14%,105.66M,0.00,13.87,0.22%,"22,042"
AAALG,6.65%,-13.49%,-16.85%,-16.27%,-34.60%,-20.45%,-,-,-,4.28%,4.84%,32.38K,0.14,11.59,1.97%,230
AAAME,11.70%,-4.05%,-33.18%,-44.44%,-47.11%,-56.36%,-25.16%,-60.61%,-57.72%,5.60%,5.76%,37.92K,34.12,1.50,15.14%,"64,695"
AAAMI,5.06%,15.94%,28.39%,69.50%,103.51%,86.89%,351.82%,250.88%,617.02%,2.15%,3.37%,468.34K,0.00,95.65,0.00%,0
AAAOG,-16.62%,101.27%,-73.31%,-,-79.60%,-,-,-,-,16.42%,24.87%,2.05M,1.12,3.16,11.27%,"114,536"
AAAOI,-7.13%,56.69%,-29.06%,123.32%,243.95%,398.54%,823.02%,1542.47%,632.44%,7.62%,12.00%,12.08M,0.45,119.90,5.40%,"273,691"
AAAON,0.82%,-3.97%,-42.71%,-17.59%,6.89%,-3.83%,34.27%,77.90%,341.65%,4.40%,5.74%,1.10M,0.02,81.50,2.16%,930
AAAOX,-17.09%,102.37%,-72.78%,-,-44.39%,-,-,-,-,16.55%,25.19%,8.07M,1.24,14.19,10.65%,"499,462"
