Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
AA,-0.93%,5.51%,9.31%,-1.74%,-1.92%,14.86%,4.58%,-11.20%,186.52%,3.58%,2.95%,2.40M,1.11,133.46,0.45%,"2,662,821"
AAA,-4.96%,-20.87%,-31.24%,-25.68%,-13.12%,44.60%,38.32%,24.01%,-,4.90%,4.57%,5.39M,1.00,46.17,4.10%,"5,374,069"
AAAA,0.08%,-0.09%,0.00%,-0.05%,-0.02%,-0.02%,1.13%,-0.09%,-,0.29%,0.34%,11.04K,0.11,25.00,0.00%,"1,174"
AAAAA,-0.46%,-1.18%,5.47%,10.58%,10.58%,19.65%,-,-,-,0.31%,0.49%,4.99K,2.35,30.24,0.03%,"11,729"
AAAAC,0.02%,-0.02%,0.10%,-0.15%,0.05%,-,-,-,-,0.08%,0.04%,77.57K,0.00,20.07,0.00%,38
AAAAD,-0.44%,-0.40%,-,-,-0.24%,-,-,-,-,0.00%,0.00%,0.21K,0.06,49.81,-0.16%,13
AAAAP,0.18%,-,-,-,0.70%,-,-,-,-,0.02%,-,117.34K,0.00,25.30,0.04%,6
AAAAU,1.83%,-1.40%,-11.75%,-13.23%,-4.30%,20.14%,109.30%,126.47%,-,1.02%,1.27%,1.54M,0.46,40.72,1.12%,"709,238"
AAAC-U,0.25%,-,-,-,0.15%,-,-,-,-,0.10%,-,981.13K,0.10,10.09,0.20%,"95,137"
AAACB,-0.28%,0.38%,1.54%,2.23%,2.33%,4.05%,-,-,-,0.59%,0.29%,32.95K,0.25,10.54,0.29%,"8,211"
AAACG,-9.00%,-14.95%,-12.50%,-14.95%,15.15%,-13.33%,-34.53%,-72.67%,109.20%,4.56%,5.71%,18.19K,0.08,0.91,-2.41%,"1,385"
AAACI,-0.10%,0.00%,0.81%,-,0.30%,-,-,-,-,0.00%,0.12%,20.07K,0.00,9.98,-0.10%,9
AAACO,-0.60%,0.30%,0.51%,-,-0.30%,-,-,-,-,0.04%,0.07%,24.77K,0.00,9.92,-0.10%,106
AAACP,0.00%,0.00%,-,-,0.30%,-,-,-,-,0.08%,0.14%,202.59K,0.00,9.98,0.00%,667
AAADR,0.76%,0.89%,-0.58%,-8.91%,-2.79%,5.88%,62.96%,27.57%,107.92%,1.13%,1.07%,2.48K,0.85,83.85,1.74%,"2,116"
AAADX,-9.00%,-5.10%,-,-,-16.67%,-,-,-,-,8.72%,8.55%,1.97M,0.28,17.29,-4.10%,"553,189"
AAAEQ,-1.01%,0.60%,5.97%,9.91%,8.07%,-,-,-,-,0.09%,0.21%,0.57K,0.27,53.31,-0.09%,155
AAAL,-5.37%,-8.02%,25.66%,0.00%,-3.52%,18.32%,-15.10%,-30.10%,-59.32%,3.46%,3.98%,105.72M,1.12,14.79,-3.21%,"118,561,608"
AAALG,-11.72%,-18.07%,43.75%,-17.66%,-24.33%,-3.30%,-,-,-,5.00%,6.67%,39.85K,0.19,13.41,-7.32%,"7,519"
AAAME,-3.07%,-13.19%,-35.90%,-43.97%,-44.17%,-27.19%,-14.59%,-59.80%,-62.82%,3.36%,3.34%,12.97K,0.14,1.58,1.28%,"1,802"
AAAMI,-0.90%,11.41%,25.14%,52.47%,75.15%,108.35%,278.48%,247.49%,492.23%,3.48%,3.74%,477.82K,0.69,82.32,-1.94%,"329,403"
AAAOG,-1.40%,-65.14%,-,-,-77.72%,-,-,-,-,20.23%,23.58%,1.06M,1.40,3.45,-15.21%,"1,486,034"
AAAOI,1.31%,-35.46%,-26.60%,181.51%,217.04%,319.43%,1297.22%,1393.51%,802.94%,9.87%,10.91%,11.90M,0.68,110.52,-7.33%,"8,072,997"
AAAON,-5.25%,-21.29%,11.94%,16.82%,40.55%,41.01%,59.10%,167.52%,505.71%,6.26%,5.82%,1.15M,0.62,107.17,1.48%,"710,096"
AAAOX,-1.15%,-65.07%,-70.06%,-,-39.24%,-,-,-,-,21.07%,24.03%,5.71M,1.01,15.50,-14.60%,"5,751,045"
AAAOZ,-13.81%,-,-,-,5.96%,-,-,-,-,21.58%,-,107.36K,1.15,27.20,15.60%,"123,960"
AAAP,6.53%,0.13%,-5.52%,34.33%,41.20%,-15.45%,-21.55%,-73.61%,-66.58%,5.15%,4.99%,1.95M,0.80,55.49,-0.27%,"1,549,776"
AAAPB,-1.19%,18.39%,44.79%,62.70%,33.50%,104.40%,56.33%,-,-,3.99%,4.67%,78.07K,0.13,42.81,-0.83%,"10,006"
AAAPD,0.47%,-10.22%,-19.40%,-25.81%,-18.23%,-36.30%,-47.32%,-,-,2.19%,2.75%,8.12M,0.69,10.72,0.47%,"5,595,814"
AAAPE,-0.80%,-,-,-,9.06%,-,-,-,-,2.72%,-,9.93K,0.14,16.24,-0.47%,"1,370"
AAAPG,-4.68%,12.29%,-25.01%,-26.05%,-26.70%,-51.17%,-,-,-,1.66%,2.93%,11.51K,1.01,19.24,0.71%,"11,612"
AAAPL,-0.49%,9.72%,22.44%,32.10%,19.87%,52.00%,69.79%,122.00%,1221.26%,2.27%,2.78%,54.95M,0.71,325.89,-0.56%,"38,755,929"
AAAPR,-0.27%,0.41%,0.84%,3.77%,3.82%,7.72%,-,-,-,0.18%,0.19%,15.33K,0.85,29.50,-0.05%,"13,046"
AAAPU,-1.35%,17.62%,43.24%,59.61%,30.61%,95.70%,83.35%,-,-,4.53%,5.56%,2.13M,0.31,43.86,-1.17%,"671,386"
AAAPW,-1.08%,9.34%,18.34%,19.27%,4.51%,16.38%,-,-,-,2.39%,2.78%,16.07K,0.59,42.26,-0.50%,"9,413"
AAAPX,-0.74%,18.22%,43.33%,59.60%,30.49%,93.83%,-,-,-,4.01%,5.11%,70.99K,0.17,39.77,-1.09%,"12,180"
AAAPY,-1.51%,7.98%,18.69%,22.53%,10.30%,24.69%,-,-,-,1.69%,1.78%,5.30K,1.94,27.45,-1.58%,"10,273"
AAARD,-2.85%,58.82%,20.67%,-58.25%,-50.63%,-52.87%,-,-,-,12.58%,16.21%,268.73K,0.68,6.48,6.58%,"183,904"
AAAT,-4.67%,0.12%,17.25%,34.39%,28.21%,19.79%,10.37%,-33.87%,-46.44%,2.40%,2.03%,401.39K,0.95,24.27,-4.03%,"379,978"
AAAUA,-1.01%,0.77%,6.77%,-,15.25%,-,-,-,-,0.07%,0.12%,0.93K,0.01,57.09,-0.12%,12
AAAUC,-0.87%,-15.96%,-31.98%,-25.85%,-5.20%,53.18%,-,-,-,4.60%,4.42%,722.93K,0.55,21.69,3.09%,"395,937"
AAAUS,-1.19%,0.48%,6.04%,9.77%,8.46%,-,-,-,-,0.31%,0.21%,3.55K,10.84,59.77,-0.18%,"38,482"
AAAVM,0.18%,-1.82%,0.79%,8.20%,14.07%,25.27%,45.98%,23.48%,-,0.38%,0.32%,2.03K,1.33,33.67,0.38%,"2,703"
AAAXJ,-0.95%,-9.22%,6.25%,15.59%,21.09%,32.35%,67.18%,24.08%,97.96%,1.60%,1.79%,663.60K,0.42,112.76,-0.76%,"276,587"
AAB,-1.99%,3.84%,-4.03%,-6.42%,-2.96%,-11.14%,11.13%,-18.51%,52.91%,1.63%,1.85%,311.04K,1.12,37.34,-0.69%,"346,949"
AABAT,-4.31%,-16.72%,-26.28%,-49.69%,-26.95%,-15.28%,-75.87%,-90.23%,-91.11%,5.36%,6.11%,6.22M,0.38,2.44,-0.41%,"2,351,259"
AABBV,3.76%,10.13%,23.49%,18.34%,10.86%,35.37%,76.22%,115.50%,296.96%,2.50%,2.55%,7.08M,0.70,253.30,-1.09%,"4,953,195"
AABCB,-0.86%,2.87%,6.42%,13.86%,21.00%,34.40%,126.03%,96.65%,181.46%,2.05%,1.96%,506.15K,0.75,89.87,-0.88%,"379,113"
AABCL,-14.99%,-0.17%,43.61%,37.74%,67.54%,16.46%,-27.01%,-64.25%,-,9.46%,9.77%,8.17M,0.31,5.73,-4.02%,"2,559,199"
